"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,       -4.19379105,      -4.465424513,      -4.161610772,      -3.646262473,      0.7408124284,    -0.04909783411,                 0,                 0,                 0,    0.005373869308,      0.7408124284,    -0.04909783411,                 0,      -0.066275662
          0,           0,           1,       -4.31472261,      -4.447289373,      -4.273781629,      -3.759138309,    -0.02008641612,     0.08702013509,                 0,                 0,                 0,    0.001247280439,    -0.02008641612,     0.08702013509,                 0,      -4.332287779
          0,           0,           2,      -4.429186729,       -4.44069415,      -4.439623563,      -3.878103077,     -0.1257336737,     0.03207601104,                 0,                 0,                 0,    0.007549357323,     -0.1257336737,     0.03207601104,                 0,      -0.255110744
          0,           0,           3,       -4.42426038,      -4.417556232,      -4.439259397,      -3.866783844,    -0.02839122772,    -0.03644842057,                 0,                 0,                 0,   -0.002873409138,    -0.02839122772,    -0.03644842057,                 0,       1.283791632
          0,           0,           4,      -4.361998742,      -4.484445931,      -4.469691961,      -3.811455271,     0.07006869279,     -0.0399290234,                 0,                 0,                 0,    -0.01194698269,     0.07006869279,     -0.0399290234,                 0,     -0.5698554063
          0,           0,           5,      -4.387451818,       -4.44088088,       -4.45917616,      -3.838714258,     0.06942107333,     0.01497603938,                 0,                 0,                 0,     0.00631256443,     0.06942107333,     0.01497603938,                 0,      0.2157275688
          0,           0,           6,      -4.476617028,      -4.490165994,      -4.486204043,      -3.921555388,    -0.01136393307,     0.04166394339,                 0,                 0,                 0,     0.01491762458,    -0.01136393307,     0.04166394339,                 0,       -3.66633129
          0,           0,           7,      -4.420642476,      -4.579347442,      -4.563576887,      -3.873363419,    -0.04102476791,    0.001766980883,                 0,                 0,                 0,   -0.002648843115,    -0.04102476791,    0.001766980883,                 0,    -0.04307107567
          0,           0,           8,      -4.670804522,      -4.619783073,      -4.606269467,      -4.115544111,    0.008810362687,    -0.03108945154,                 0,                 0,                 0,    -0.01182846128,    0.008810362687,    -0.03108945154,                 0,      -3.528736857
          0,           0,           9,      -4.555797399,      -4.740680852,      -4.726398413,      -4.007283781,     0.03715605936,    -0.00919437978,                 0,                 0,                 0,    0.000486413771,     0.03715605936,    -0.00919437978,                 0,     -0.2474530383
          0,           0,          10,      -4.835092045,      -4.813454526,      -4.813044467,      -4.285523232,     0.00438134904,     0.02115091345,                 0,                 0,                 0,    0.009126313495,     0.00438134904,     0.02115091345,                 0,       4.827488807
          0,           0,          11,      -4.798523433,      -4.892077161,      -4.890809516,      -4.246793183,    -0.02294324203,     0.01388664061,                 0,                 0,                 0,    0.001520542017,    -0.02294324203,     0.01388664061,                 0,     -0.6052606076
          0,           0,          12,      -4.888682681,      -5.006688307,       -5.01927568,      -4.341365413,   -0.005587707279,    -0.01039312734,                 0,                 0,                 0,   -0.006063085846,   -0.005587707279,    -0.01039312734,                 0,       1.859998533
          0,           0,          13,      -5.114086138,      -5.036977658,      -5.037488036,      -4.559231807,     0.01806103644,    -0.01375381447,                 0,                 0,                 0,   -0.002625048646,     0.01806103644,    -0.01375381447,                 0,     -0.7615185604
          0,           0,          14,      -5.023660367,      -5.143797252,      -5.160968504,      -4.473701142,    0.009824718964,    0.001968985263,                 0,                 0,                 0,    0.002995913996,    0.009824718964,    0.001968985263,                 0,      0.2004113573
          0,           0,          15,      -5.268919715,      -5.185013459,      -5.215750912,      -4.721196585,    -0.01132650024,     0.01099594972,                 0,                 0,                 0,    0.002625400599,    -0.01132650024,     0.01099594972,                 0,     -0.9708161829
          0,           0,          16,       -5.27255064,      -5.217860944,       -5.28817854,      -4.720939906,    -0.01064869182,    0.003705866017,                 0,                 0,                 0,  -0.0007454393351,    -0.01064869182,    0.003705866017,                 0,     -0.3480113876
          0,           0,          17,      -5.360972341,      -5.293189623,      -5.378538985,      -4.814420031,    0.006435758057,   -0.005815867387,                 0,                 0,                 0,   -0.001804422674,    0.006435758057,   -0.005815867387,                 0,     -0.9036802402
          0,           0,          18,      -5.550528856,      -5.321349515,      -5.395419509,      -4.997909187,     0.01093240619,   -0.004351080363,                 0,                 0,                 0,  -0.0002743899751,     0.01093240619,   -0.004351080363,                 0,     -0.3979984175
          0,           0,          19,      -5.527953732,      -5.374526121,      -5.472583945,      -4.977371892,   -0.000737725061,    0.003086770661,                 0,                 0,                 0,    0.001125451297,   -0.000737725061,    0.003086770661,                 0,      -4.184174869
          0,           0,          20,      -5.658875023,      -5.381080692,      -5.494278516,      -5.110094327,    -0.00788659014,    0.004853755745,                 0,                 0,                 0,   0.0007886452839,    -0.00788659014,    0.004853755745,                 0,     -0.6154441475
          0,           0,          21,      -5.651036426,      -5.393643335,      -5.500271887,      -5.102169729,    -0.00165806698,   0.0002765020804,                 0,                 0,                 0,  -0.0003263679672,    -0.00165806698,   0.0002765020804,                 0,     -0.1667617073
          0,           0,          22,       -5.68687339,       -5.41126114,      -5.514423819,      -5.141948423,    0.005227850984,   -0.002525986975,                 0,                 0,                 0,  -0.0006200428295,    0.005227850984,   -0.002525986975,                 0,     -0.4831788402
          0,           0,          23,      -5.799142463,      -5.427469431,       -5.53724482,      -5.250627843,    0.002619059551,  -0.0002280530502,                 0,                 0,                 0,   6.235218157e-05,    0.002619059551,  -0.0002280530502,                 0,    -0.08707440427
          0,           0,          24,      -5.689605728,      -5.445333057,      -5.558619935,      -5.142524329,   -0.002657250613,     0.00214971897,                 0,                 0,                 0,   0.0004727877355,   -0.002657250613,     0.00214971897,                 0,     -0.8090012132
          0,           0,          25,      -5.844185067,      -5.456916217,      -5.571212841,      -5.296953002,   -0.002144372191,    0.001243879923,                 0,                 0,                 0,   0.0001120638339,   -0.002144372191,    0.001243879923,                 0,     -0.5800671767
          0,           0,          26,      -5.764947571,      -5.472658503,      -5.583034584,      -5.216294105,    0.001333156154,  -0.0004186503369,                 0,                 0,                 0,  -0.0002189188736,    0.001333156154,  -0.0004186503369,                 0,     -0.3140294822
          0,           0,          27,      -5.812077999,       -5.49369679,      -5.610122655,      -5.267198668,    0.001649885901,  -0.0001825902423,                 0,                 0,                 0,  -1.347267094e-05,    0.001649885901,  -0.0001825902423,                 0,     -0.1106684058
