"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 9.997500181200000e-01, -3.632896574592246e-05, 1.014056167324446e+00, 1.529833155147485e-01, 1.932279311937797e-02, 2.558773708640535e+00, 1.018819947328732e+00, 1.004697747676892e+00, 1.282145190553039e-01, 6.721409760261446e-01
1, 9.990000128750000e-01, -1.452537854904942e-04, 1.008921270829837e+00, 1.741018814401117e-01, 2.453711019480870e-02, 2.546861257856059e+00, 1.012616466041516e+00, 1.003662520871069e+00, 1.470141660737155e-01, 4.505880729112939e-01
2, 9.977599978450000e-01, -3.251115477089107e-04, 1.007679054576270e+00, 1.854917331615164e-01, 2.661213435463543e-02, 2.544331955901348e+00, 1.010763224224603e+00, 1.003060666622301e+00, 1.569274402804238e-01, 3.844008651643916e-01
3, 9.960200190539999e-01, -5.770004367593505e-04, 1.006530796596977e+00, 1.917526389203289e-01, 2.761393418395451e-02, 2.541786955914843e+00, 1.009257165764256e+00, 1.002708679333505e+00, 1.624501399123288e-01, 3.306130630091331e-01
4, 9.937800168990000e-01, -9.004440382215399e-04, 1.005817364405499e+00, 1.964548135720743e-01, 2.826450473884282e-02, 2.540257312493778e+00, 1.008269817835545e+00, 1.002438269129998e+00, 1.665710927600195e-01, 2.953506369837552e-01
5, 9.910500049590000e-01, -1.293384536708934e-03, 1.005247345236170e+00, 2.003816939495876e-01, 2.875530953857019e-02, 2.539049468843918e+00, 1.007466631741441e+00, 1.002207701931060e+00, 1.700076716625593e-01, 2.666654193371675e-01
6, 9.878399968150000e-01, -1.753656705922616e-03, 1.004761232781060e+00, 2.037241246731434e-01, 2.912908131777036e-02, 2.538022399934232e+00, 1.006778693962129e+00, 1.002007901096547e+00, 1.729317019042585e-01, 2.420962129331644e-01
7, 9.841300249100000e-01, -2.283268701030909e-03, 1.004333634877926e+00, 2.066668616975168e-01, 2.941530929548538e-02, 2.537121579536659e+00, 1.006170947301957e+00, 1.001829384539386e+00, 1.755040028393242e-01, 2.203909750699047e-01
8, 9.799500107769999e-01, -2.876984522277481e-03, 1.003936905395443e+00, 2.092759204454606e-01, 2.963393827873601e-02, 2.536280529893211e+00, 1.005612333700771e+00, 1.001668858168600e+00, 1.777860666267810e-01, 2.004404893132330e-01
9, 9.752799868580000e-01, -3.536570198488602e-03, 1.003575419517850e+00, 2.116529168989922e-01, 2.979512833486050e-02, 2.535515663811504e+00, 1.005101876155182e+00, 1.001521018358606e+00, 1.798628016703016e-01, 1.822098626850867e-01
10, 9.701499938960000e-01, -4.256616907963382e-03, 1.003237974699690e+00, 2.138412622303243e-01, 2.990878237623169e-02, 2.534801044479477e+00, 1.004625988778686e+00, 1.001383534230162e+00, 1.817733191130335e-01, 1.652138849530606e-01
11, 9.645400047300000e-01, -5.038681439052033e-03, 1.002920666732037e+00, 2.158740170773296e-01, 2.998049606879810e-02, 2.534128562853997e+00, 1.004179006640460e+00, 1.001254675419665e+00, 1.835463929297629e-01, 1.492502371592740e-01
12, 9.584699869160000e-01, -5.878634942388199e-03, 1.002621218426345e+00, 2.177798409546664e-01, 3.001440919033519e-02, 2.533494021065847e+00, 1.003757093544530e+00, 1.001132905525346e+00, 1.852067391103973e-01, 1.341819123046318e-01
13, 9.519400000570000e-01, -6.775073126744369e-03, 1.002336170492808e+00, 2.195731305425210e-01, 3.001430361584907e-02, 2.532889438616351e+00, 1.003356025717137e+00, 1.001017478221731e+00, 1.867673449757080e-01, 1.198580613263374e-01
14, 9.449599981310000e-01, -7.725178875240819e-03, 1.002064654096141e+00, 2.212721084820280e-01, 2.998308768842186e-02, 2.532313623731679e+00, 1.002973929631034e+00, 1.000907402063506e+00, 1.882438814664960e-01, 1.062117725369143e-01
15, 9.375399947170000e-01, -8.726109652340726e-03, 1.001804712300261e+00, 2.228866816915427e-01, 2.992344259833591e-02, 2.531762166677642e+00, 1.002608310990802e+00, 1.000802151038696e+00, 1.896452443206615e-01, 9.315396395722814e-02
16, 9.296900033950000e-01, -9.775014200641672e-03, 1.001554986500278e+00, 2.244267988347316e-01, 2.983739093447218e-02, 2.531232185241585e+00, 1.002257258753718e+00, 1.000701181925012e+00, 1.909802060219174e-01, 8.061638406135577e-02
17, 9.214000105860000e-01, -1.087167491609583e-02, 1.001313869621154e+00, 2.259008794631836e-01, 2.972726469190609e-02, 2.530720101579608e+00, 1.001918681096667e+00, 1.000604017874777e+00, 1.922563591838701e-01, 6.852432488096180e-02
18, 9.126999974250000e-01, -1.201055778202881e-02, 1.001081114958958e+00, 2.273187262902018e-01, 2.959430726460213e-02, 2.530225855997228e+00, 1.001591767296548e+00, 1.000510100859919e+00, 1.934820993200586e-01, 5.684883201955467e-02
19, 9.035800099370001e-01, -1.319139033937139e-02, 1.000855593479013e+00, 2.286844672759056e-01, 2.944065569015551e-02, 2.529746829080842e+00, 1.001275153540329e+00, 1.000419201395337e+00, 1.946613235753191e-01, 4.554119786890989e-02
20, 8.940600156780000e-01, -1.440998805244900e-02, 1.000636709077613e+00, 2.300028146643128e-01, 2.926682431812374e-02, 2.529281774723763e+00, 1.000967982802943e+00, 1.000331062934554e+00, 1.957981507417936e-01, 3.457081439080444e-02
21, 8.841500282290000e-01, -1.566349413263757e-02, 1.000424611150389e+00, 2.312779910966880e-01, 2.907384764912445e-02, 2.528831301748685e+00, 1.000670173416680e+00, 1.000245458042070e+00, 1.968962063568949e-01, 2.393476488143920e-02
22, 8.738499879840000e-01, -1.695032423177773e-02, 1.000216692156534e+00, 2.325146070091497e-01, 2.886379194608995e-02, 2.528389135487450e+00, 1.000378800601432e+00, 1.000162073324880e+00, 1.979601071759902e-01, 1.352859290827085e-02
23, 8.631799817090000e-01, -1.826638501234948e-02, 1.000015185232336e+00, 2.337181923999867e-01, 2.863702902548028e-02, 2.527961217895597e+00, 1.000095800964490e+00, 1.000080614508005e+00, 1.989941132355832e-01, 3.421463017500809e-03
24, 8.521599769590000e-01, -1.960768751843075e-02, 9.998172912348104e-01, 2.348880922044471e-01, 2.839420758002259e-02, 2.527540445233170e+00, 9.998184027848600e-01, 1.000001111753177e+00, 1.999982960870448e-01, -6.485614826428384e-03
25, 8.407700061800000e-01, -2.097509599000216e-02, 9.996239324863345e-01, 2.360321930950710e-01, 2.813662576074158e-02, 2.527129644378353e+00, 9.995470331967845e-01, 9.999230717802459e-01, 2.009792774086664e-01, -1.617738582912476e-02
26, 8.290500044819999e-01, -2.236225618174383e-02, 9.994340865394356e-01, 2.371501046735870e-01, 2.786435004340177e-02, 2.526726197202502e+00, 9.992807031053001e-01, 9.998465297149647e-01, 2.019369482529110e-01, -2.568917481070894e-02
27, 8.170099854470000e-01, -2.376650281994303e-02, 9.992472746355772e-01, 2.382450937605932e-01, 2.757819279117968e-02, 2.526329106802002e+00, 9.990187203684032e-01, 9.997712735646369e-01, 2.028742647675784e-01, -3.504570112845631e-02
28, 8.046399950980000e-01, -2.518746460071468e-02, 9.990624326282349e-01, 2.393187957969147e-01, 2.727809395524062e-02, 2.525935792267504e+00, 9.987599115331769e-01, 9.996971950048588e-01, 2.037928407810579e-01, -4.428887381511102e-02
29, 7.919700145720000e-01, -2.662015845605070e-02, 9.988805791619219e-01, 2.403783416047814e-01, 2.696476513690702e-02, 2.525549290759975e+00, 9.985048332855125e-01, 9.996238330344511e-01, 2.046986020412722e-01, -5.339881123169506e-02
30, 7.790099978450000e-01, -2.806196014066351e-02, 9.987006372748186e-01, 2.414144150590233e-01, 2.663621042498080e-02, 2.525166228411358e+00, 9.982530599312631e-01, 9.995518403344805e-01, 2.055837064947761e-01, -6.239071674060286e-02
31, 7.657799720760000e-01, -2.950915112481939e-02, 9.985251242650923e-01, 2.424399651949121e-01, 2.629209803836091e-02, 2.524793805431698e+00, 9.980062723307207e-01, 9.994803816931965e-01, 2.064586180565643e-01, -7.120455961711784e-02
32, 7.522799968720000e-01, -3.096020720212907e-02, 9.983489264334626e-01, 2.434514768226780e-01, 2.593415198941972e-02, 2.524418941190680e+00, 9.977595099136745e-01, 9.994096087007438e-01, 2.073216180761948e-01, -8.001750308305508e-02
33, 7.385200262070000e-01, -3.241247533979789e-02, 9.981752482950682e-01, 2.444566074207570e-01, 2.556044305168041e-02, 2.524050196866876e+00, 9.975155170951060e-01, 9.993390627536709e-01, 2.081784101911641e-01, -8.873153231764298e-02
34, 7.245299816130000e-01, -3.386122629758013e-02, 9.980009980654703e-01, 2.454566456491844e-01, 2.517220673851910e-02, 2.523679906494776e+00, 9.972710519768885e-01, 9.992685918250619e-01, 2.090309049491270e-01, -9.746242939684008e-02
35, 7.103199958800001e-01, -3.530384529688486e-02, 9.978278417613932e-01, 2.464443796725368e-01, 2.476580513993286e-02, 2.523311719606180e+00, 9.970283427599138e-01, 9.991987605797130e-01, 2.098723635501928e-01, -1.061306157173639e-01
36, 6.958900094030001e-01, -3.673867908443040e-02, 9.976550524449262e-01, 2.474300557505754e-01, 2.434141456837876e-02, 2.522944533354069e+00, 9.967859276291384e-01, 9.991288323417422e-01, 2.107117407583928e-01, -1.147882989593420e-01
37, 6.812700033190000e-01, -3.816104493081713e-02, 9.974822454739511e-01, 2.484088298689456e-01, 2.389680301029439e-02, 2.522577026732218e+00, 9.965437706009844e-01, 9.990591563135837e-01, 2.115448943277305e-01, -1.234367642505563e-01
38, 6.664699912070000e-01, -3.956824941259938e-02, 9.973096222008041e-01, 2.493915378251254e-01, 2.343221874354696e-02, 2.522210482937103e+00, 9.963012988324474e-01, 9.989889565427722e-01, 2.123811220958107e-01, -1.320964702697341e-01
