"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -4.317677998,      -4.590784217,       -4.28892543,      -3.771660013,      0.9550913469,      0.2486239937,                 0,                 0,                 0,     0.08582111446,      0.9528853539,      0.2569491654,                 0,       0.260314361
          0,           0,           1,      -4.440763069,      -4.573781207,      -4.409209074,      -3.887749572,    -0.06115781345,      0.1802301908,                 0,                 0,                 0,    0.004524268559,     -0.0627282699,      0.1796896324,                 0,      -2.946969171
          0,           0,           2,      -4.551513955,      -4.567268824,      -4.567415239,      -4.001839657,     -0.1716652174,    -0.02605399388,                 0,                 0,                 0,    -0.02361247461,     -0.1714313198,    -0.02755104443,                 0,      0.1517721194
          0,           0,           3,       -4.54127593,      -4.544929255,      -4.570229589,       -3.98527175,    0.002600268221,     -0.1150452737,                 0,                 0,                 0,    -0.02513583078,    0.003604115875,     -0.1150182018,                 0,      -44.24361793
          0,           0,           4,      -4.469592907,      -4.603855077,      -4.599706012,      -3.920818209,      0.1183207023,    0.004253130476,                 0,                 0,                 0,  -0.0002212227717,      0.1182790819,    0.005285498338,                 0,     0.03594578457
          0,           0,           5,      -4.574708477,      -4.576578469,      -4.604193948,       -4.02527042,     0.05809667433,      0.1369872674,                 0,                 0,                 0,     0.03006947734,     0.05689903793,       0.137489034,                 0,       2.357919261
          0,           0,           6,      -4.559521555,      -4.648363348,      -4.645769648,      -4.008715274,     -0.0458624254,     0.08966991662,                 0,                 0,                 0,     0.01460497481,    -0.04664318681,     0.08926628218,                 0,      -1.955193513
          0,           0,           7,      -4.675245511,      -4.749514935,      -4.757415191,      -4.127698577,    -0.03539751212,    -0.03401015924,                 0,                 0,                 0,     -0.0220622776,    -0.03509937343,    -0.03431776188,                 0,      0.9608064862
          0,           0,           8,      -4.744368651,      -4.813350649,      -4.805035992,       -4.19320958,      0.0410383368,    -0.02740083027,                 0,                 0,                 0,    -0.01525757192,      0.0412758885,    -0.02704166443,                 0,     -0.6676886154
          0,           0,           9,      -4.816211873,      -4.945896765,      -4.976719271,      -4.268802392,     0.04016243398,     0.07394953661,                 0,                 0,                 0,     0.01744043537,     0.03951558146,     0.07429719975,                 0,        1.84126133
          0,           0,          10,      -5.029812829,      -5.017934695,       -5.02239852,      -4.477567054,    -0.01996333244,     0.09703334728,                 0,                 0,                 0,     0.01691170718,    -0.02080933724,     0.09685544182,                 0,      -4.860578643
          0,           0,          11,      -4.986151002,      -5.132006377,      -5.150106998,      -4.437137782,     -0.0260342528,     0.03031439869,                 0,                 0,                 0,   -0.007709111549,    -0.02629780117,     0.03008605558,                 0,      -1.164404407
          0,           0,          12,      -5.221261059,      -5.218431562,      -5.208427065,      -4.673040278,     0.01623644508,   -0.003987366321,                 0,                 0,                 0,    -0.01186216684,     0.01627062274,    -0.00384552658,                 0,     -0.2455812403
          0,           0,          13,      -5.197429719,      -5.249465053,      -5.272082579,      -4.645964945,     0.02392995243,     0.03447925506,                 0,                 0,                 0,     0.00341726079,     0.02362815681,     0.03468676778,                 0,       1.440840936
          0,           0,          14,      -5.307475742,      -5.357548751,      -5.395647796,      -4.760730825,   -0.007752787911,     0.07302299142,                 0,                 0,                 0,    0.009792849976,   -0.008389730435,     0.07295255594,                 0,      -9.418933196
          0,           0,          15,      -5.455318548,      -5.365087319,      -5.402633866,      -4.902316256,    -0.01805979815,     0.05935242627,                 0,                 0,                 0,    0.001761530978,    -0.01857705154,     0.05919256684,                 0,      -3.286439072
          0,           0,          16,      -5.438093487,      -5.448303999,       -5.51040526,      -4.890209471,    0.004527047701,     0.02739216269,                 0,                 0,                 0,   -0.005227473339,    0.004287836645,     0.02743062512,                 0,       6.050778455
          0,           0,          17,      -5.672634827,      -5.473530623,      -5.537693881,      -5.122581009,     0.01567305202,     0.02732437642,                 0,                 0,                 0,    -0.00272807814,      0.0154340081,     0.02746010743,                 0,       1.743398566
          0,           0,          18,      -5.632201194,      -5.528542694,      -5.584704437,      -5.081992903,   0.0003756813202,     0.05158528814,                 0,                 0,                 0,    0.002967110293,  -7.449383278e-05,     0.05158660233,                 0,       137.3112938
          0,           0,          19,      -5.775118709,      -5.546041515,       -5.61555674,      -5.229788014,    -0.01055886519,     0.06095858922,                 0,                 0,                 0,    0.003555888553,    -0.01109042043,      0.0608641258,                 0,      -5.773214086
          0,           0,          20,      -5.793202433,      -5.547786512,      -5.638053761,      -5.244722947,   -0.001483097978,     0.04774615135,                 0,                 0,                 0,  -0.0002528958828,   -0.001899699991,     0.04773139101,                 0,      -32.19352467
          0,           0,          21,      -5.833290612,      -5.575056696,      -5.661686704,       -5.28830369,     0.00768708138,     0.03759730615,                 0,                 0,                 0,   -0.002234990018,    0.007358694452,     0.03766295615,                 0,       4.890972828
          0,           0,          22,      -5.931645404,      -5.586729894,      -5.666448316,      -5.381582414,    0.002582491425,     0.04468220649,                 0,                 0,                 0,  -0.0001731103805,     0.00219247223,     0.04470304133,                 0,       17.30197671
          0,           0,          23,      -5.842381702,      -5.597814397,      -5.698136229,      -5.297078082,   -0.004270045997,     0.05450522775,                 0,                 0,                 0,    0.001955071127,   -0.004745525212,     0.05446588965,                 0,      -12.76455284
          0,           0,          24,      -6.013197413,      -5.597533343,      -5.707675924,      -5.465584446,   -0.001735956343,     0.05320738784,                 0,                 0,                 0,    0.001102366875,   -0.002200206402,     0.05319021298,                 0,      -30.65018775
