"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 9.997500181200000e-01, -3.632896574592246e-05, 1.008863894673235e+00, 1.106893440419843e-01, 1.380615671751040e-02, 2.535272869042642e+00, 1.011642463872411e+00, 1.002754156644763e+00, 9.331773625405972e-02, 7.392040553911657e-01
1, 9.990000128750000e-01, -1.452537854904942e-04, 1.005176872950924e+00, 1.284309188650363e-01, 1.801822667968817e-02, 2.526642275711249e+00, 1.007310403243640e+00, 1.002122542161612e+00, 1.089269130953414e-01, 4.641525868977614e-01
2, 9.977599978450000e-01, -3.251115477089107e-04, 1.004447649810573e+00, 1.381413685494201e-01, 1.978336697187508e-02, 2.525190391703836e+00, 1.006198519192488e+00, 1.001743116609656e+00, 1.173174866097928e-01, 3.935567741261966e-01
3, 9.960200190539999e-01, -5.770004367593505e-04, 1.003692829626495e+00, 1.431863751738721e-01, 2.061695013054859e-02, 2.523503735630898e+00, 1.005231414313478e+00, 1.001532923860337e+00, 1.217194968322695e-01, 3.321532897446604e-01
4, 9.937800168990000e-01, -9.004440382215399e-04, 1.003271529782607e+00, 1.467855152832678e-01, 2.111944419284225e-02, 2.522598589394732e+00, 1.004655374660344e+00, 1.001379332350872e+00, 1.248391282518833e-01, 2.955793435139149e-01
5, 9.910500049590000e-01, -1.293384536708934e-03, 1.002941157939519e+00, 1.497452177488116e-01, 2.148979723733024e-02, 2.521897231667101e+00, 1.004195226804137e+00, 1.001250391266418e+00, 1.273998238671551e-01, 2.663636066118856e-01
6, 9.878399968150000e-01, -1.753656705922616e-03, 1.002668413458884e+00, 1.522707727581223e-01, 2.177239598231469e-02, 2.521323605629336e+00, 1.003809950713840e+00, 1.001138499268186e+00, 1.295814519708186e-01, 2.419016326247510e-01
7, 9.841300249100000e-01, -2.283268701030909e-03, 1.002431315897108e+00, 1.544955860546485e-01, 2.198983159955879e-02, 2.520827610559029e+00, 1.003472369436032e+00, 1.001038528547955e+00, 1.315004352759001e-01, 2.204679007004386e-01
8, 9.799500107769999e-01, -2.876984522277481e-03, 1.002210735782993e+00, 1.564619620387358e-01, 2.215570078911466e-02, 2.520362644563249e+00, 1.003161830296219e+00, 1.000948996532633e+00, 1.331958958835562e-01, 2.007511299186578e-01
9, 9.752799868580000e-01, -3.536570198488602e-03, 1.002011056873505e+00, 1.582462671675871e-01, 2.227724413730318e-02, 2.519942738152469e+00, 1.002879715046739e+00, 1.000866914758350e+00, 1.347317886144743e-01, 1.828390505865754e-01
10, 9.701499938960000e-01, -4.256616907963382e-03, 1.001825106891257e+00, 1.598854927969705e-01, 2.236257233056335e-02, 2.519551352661809e+00, 1.002617346361599e+00, 1.000790796182779e+00, 1.361408368964835e-01, 1.661807213713400e-01
11, 9.645400047300000e-01, -5.038681439052033e-03, 1.001650684112485e+00, 1.614055672849589e-01, 2.241618263506864e-02, 2.519183977191346e+00, 1.002371494483915e+00, 1.000719622501998e+00, 1.374454729369773e-01, 1.505710783437845e-01
12, 9.584699869160000e-01, -5.878634942388199e-03, 1.001486595743575e+00, 1.628281831661470e-01, 2.244116416142471e-02, 2.518838486775665e+00, 1.002140090729777e+00, 1.000652524945396e+00, 1.386643197246457e-01, 1.358787764937672e-01
