"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,   "rms[A_RhoW]"  ,    "rms[A_E]"    
          0,           0,           0,      -5.735475211,      -4.742778462,       -5.16949028,                 0,      -3.964927748
          0,           0,           1,      -4.612058243,      -3.836053749,      -3.793629919,                 0,      -4.135666774
          0,           0,           2,      -4.586861839,      -3.833778873,      -3.860279658,                 0,      -4.216048471
          0,           0,           3,      -4.679169388,      -3.931489098,      -3.952754336,                 0,      -4.322478331
          0,           0,           4,      -4.796583471,      -4.043036626,      -4.068824142,                 0,      -4.373888449
          0,           0,           5,      -4.823875914,      -4.075811189,        -4.1194808,                 0,      -4.452328706
          0,           0,           6,       -4.97179845,      -4.221357979,       -4.22169375,                 0,      -4.558754612
          0,           0,           7,      -5.046857349,      -4.302015955,      -4.280844373,                 0,      -4.644666734
          0,           0,           8,      -5.151715844,      -4.400799026,       -4.38134685,                 0,      -4.770710967
          0,           0,           9,      -5.208437192,      -4.439766306,      -4.470786937,                 0,      -4.816146357
          0,           0,          10,      -5.275425899,      -4.490940574,      -4.543404879,                 0,      -4.938034978
          0,           0,          11,      -5.333035392,      -4.563080656,       -4.59170686,                 0,      -4.982346789
          0,           0,          12,      -5.349737117,      -4.582256764,      -4.632211021,                 0,      -5.071672893
          0,           0,          13,      -5.415052516,      -4.620128491,      -4.702549512,                 0,       -5.15829992
          0,           0,          14,      -5.462350024,      -4.650715768,      -4.752146847,                 0,      -5.235781606
          0,           0,          15,      -5.457163726,       -4.66558996,      -4.774067745,                 0,      -5.320784858
          0,           0,          16,      -5.456768658,      -4.682728328,      -4.807763407,                 0,      -5.350275214
          0,           0,          17,      -5.471916449,      -4.699383363,      -4.825857257,                 0,      -5.419828587
          0,           0,          18,      -5.485664678,      -4.716051601,      -4.844491672,                 0,      -5.468003847
          0,           0,          19,       -5.48595795,      -4.726216424,      -4.855343394,                 0,      -5.493081481
          0,           0,          20,      -5.487161508,      -4.736479969,      -4.864467459,                 0,      -5.500233051
          0,           0,          21,      -5.493170295,       -4.74926257,      -4.872997589,                 0,      -5.512863933
          0,           0,          22,      -5.499941669,      -4.762040135,      -4.883540605,                 0,      -5.526323602
          0,           0,          23,      -5.505651194,      -4.772559701,      -4.894243485,                 0,      -5.530208533
          0,           0,          24,      -5.511731715,      -4.782231411,      -4.904199309,                 0,      -5.531654657
          0,           0,          25,       -5.51849948,      -4.791947571,      -4.914321212,                 0,      -5.534269763
          0,           0,          26,      -5.526033041,      -4.801071066,      -4.926512881,                 0,      -5.540584837
          0,           0,          27,       -5.53478603,      -4.809405817,      -4.941049497,                 0,      -5.547774951
          0,           0,          28,      -5.544536847,      -4.817598188,      -4.956638583,                 0,       -5.55545162
          0,           0,          29,      -5.555154162,        -4.8263132,      -4.972827133,                 0,       -5.56561466
          0,           0,          30,      -5.566893931,      -4.835320559,      -4.990065305,                 0,      -5.578115885
          0,           0,          31,      -5.579952999,      -4.844266668,      -5.008585388,                 0,      -5.592058372
          0,           0,          32,      -5.594266416,       -4.85349045,      -5.028181115,                 0,      -5.607516709
          0,           0,          33,      -5.609635805,      -4.863463015,       -5.04861563,                 0,      -5.625498961
          0,           0,          34,      -5.625973814,      -4.874283192,      -5.069969783,                 0,      -5.646048303
          0,           0,          35,      -5.643293509,      -4.885870125,      -5.092414622,                 0,      -5.668314798
          0,           0,          36,      -5.661664344,      -4.898293658,      -5.116018248,                 0,      -5.691802116
          0,           0,          37,      -5.681204392,       -4.91173285,      -5.140753302,                 0,      -5.716463722
          0,           0,          38,      -5.702032211,      -4.926295131,       -5.16653237,                 0,      -5.742059477
          0,           0,          39,      -5.724228574,      -4.942008516,       -5.19321747,                 0,      -5.768130192
          0,           0,          40,      -5.747838034,      -4.958903286,      -5.220631202,                 0,       -5.79444351
          0,           0,          41,      -5.772861553,      -4.977033533,      -5.248593344,                 0,      -5.821091639
          0,           0,          42,      -5.799220694,      -4.996450299,      -5.276954881,                 0,      -5.848265925
          0,           0,          43,      -5.826736096,      -5.017185794,      -5.305588054,                 0,      -5.876086287
          0,           0,          44,       -5.85515711,      -5.039256441,      -5.334365226,                 0,      -5.904594212
          0,           0,          45,      -5.884221893,      -5.062660384,      -5.363181192,                 0,      -5.933704675
          0,           0,          46,      -5.913696476,      -5.087355388,       -5.39197077,                 0,      -5.963005141
          0,           0,          47,      -5.943405219,      -5.113254432,      -5.420674089,                 0,      -5.991804504
          0,           0,          48,      -5.973294858,      -5.140272244,      -5.449221236,                 0,      -6.019696294
          0,           0,          49,      -6.003477508,       -5.16837414,      -5.477590974,                 0,      -6.047008533
          0,           0,          50,      -6.034169992,      -5.197571399,      -5.505862004,                 0,       -6.07454779
          0,           0,          51,      -6.065556178,      -5.227885207,      -5.534186974,                 0,      -6.103071753
          0,           0,          52,      -6.097662781,      -5.259318226,      -5.562744031,                 0,      -6.133031727
          0,           0,          53,      -6.130309396,      -5.291840893,      -5.591717574,                 0,      -6.164567221
          0,           0,          54,      -6.163135472,       -5.32538518,      -5.621291749,                 0,      -6.197576448
          0,           0,          55,      -6.195679069,      -5.359840897,      -5.651635114,                 0,      -6.231785681
          0,           0,          56,      -6.227485248,      -5.395055145,      -5.682874035,                 0,      -6.266796708
          0,           0,          57,      -6.258220494,      -5.430837834,      -5.715065495,                 0,      -6.302124852
          0,           0,          58,      -6.287765171,      -5.466976117,      -5.748194324,                 0,      -6.337286403
          0,           0,          59,      -6.316254531,      -5.503256936,      -5.782208081,                 0,      -6.371961207
          0,           0,          60,      -6.344037407,      -5.539489491,      -5.817054859,                 0,      -6.406109192
          0,           0,          61,      -6.371552132,      -5.575518952,      -5.852678147,                 0,       -6.43988867
          0,           0,          62,      -6.399181502,      -5.611230021,      -5.888981625,                 0,      -6.473446557
          0,           0,          63,      -6.427158265,      -5.646542025,       -5.92580808,                 0,      -6.506783262
          0,           0,          64,      -6.455542206,      -5.681397842,      -5.962941824,                 0,      -6.539755671
          0,           0,          65,      -6.484254466,      -5.715751623,      -6.000119109,                 0,      -6.572149458
          0,           0,          66,      -6.513147712,        -5.7495615,      -6.037043723,                 0,      -6.603761041
          0,           0,          67,      -6.542086129,      -5.782790809,      -6.073417391,                 0,       -6.63446727
          0,           0,          68,      -6.571005002,      -5.815415211,      -6.108990873,                 0,      -6.664268697
          0,           0,          69,      -6.599929014,      -5.847428651,      -6.143624872,                 0,      -6.693292703
