"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.0387848      , 0.001           
1               , -0.0157808      , 0.001           
2               , -0.00353095     , 0.001           
3               , 0.00243906      , 0.001           
4               , 0.0048555       , 0.001           
5               , 0.00536529      , 0.001           
6               , 0.00494302      , 0.001           
7               , 0.00414099      , 0.001           
8               , 0.00325206      , 0.001           
9               , 0.00241815      , 0.001           
10              , 0.00170201      , 0.001           
11              , 0.00113261      , 0.001           
12              , 0.000730812     , 0.001           
13              , 0.000518876     , 0.001           
14              , 0.00051649      , 0.001           
15              , 0.000725612     , 0.001           
16              , 0.00110491      , 0.001           
17              , 0.00153812      , 0.001           
18              , 0.00201132      , 0.001           
19              , -0.0312648      , 0.001           
20              , -0.0151174      , 0.001           
21              , -0.00522456     , 0.001           
22              , 0.000219489     , 0.001           
23              , 0.00281391      , 0.001           
24              , 0.00370098      , 0.001           
25              , 0.0036425       , 0.001           
26              , 0.00311882      , 0.001           
27              , 0.00241459      , 0.001           
28              , 0.00168656      , 0.001           
29              , 0.00101447      , 0.001           
30              , 0.000437242     , 0.001           
31              , -2.32212e-05    , 0.001           
32              , -0.000349042    , 0.001           
33              , -0.000523179    , 0.001           
34              , -0.000535862    , 0.001           
35              , -0.000408351    , 0.001           
36              , -0.000269021    , 0.001           
37              , -0.000433631    , 0.001           
