"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.014067895194471e+00, 1.530542771138064e-01, 1.933023854315470e-02, 2.558806310220340e+00, 1.018828702308007e+00, 1.004694761698006e+00, 1.282725405985295e-01, 6.724536538573985e-01
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.008924749010568e+00, 1.742002268960743e-01, 2.455075933500328e-02, 2.546874938718441e+00, 1.012615036511021e+00, 1.003657643946263e+00, 1.470970360411545e-01, 4.505370182507630e-01
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.007678540009800e+00, 1.856168037507479e-01, 2.662980019116653e-02, 2.544337361748669e+00, 1.010755984109015e+00, 1.003053993884980e+00, 1.570338204418377e-01, 3.841422896076872e-01
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.006525556131894e+00, 1.919035865351254e-01, 2.763516356277200e-02, 2.541782150621018e+00, 1.009243464451911e+00, 1.002700287442738e+00, 1.625794866501325e-01, 3.301237304254025e-01
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.005807458935754e+00, 1.966334223638112e-01, 2.828935360921230e-02, 2.540242564457321e+00, 1.008249601314653e+00, 1.002428041626857e+00, 1.667249235696742e-01, 2.946286183804533e-01
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.005232781580052e+00, 2.005886099362822e-01, 2.878364441795166e-02, 2.539024862524289e+00, 1.007439839662056e+00, 1.002195569148207e+00, 1.701865568749369e-01, 2.657085593591300e-01
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.004741816531757e+00, 2.039590433513139e-01, 2.916060380491851e-02, 2.537987453351418e+00, 1.006745122584697e+00, 1.001993851574582e+00, 1.731354268394165e-01, 2.408972351677443e-01
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.004309396614259e+00, 2.069301312138909e-01, 2.944988043460850e-02, 2.537076414506957e+00, 1.006130582548799e+00, 1.001813371397977e+00, 1.757328763924321e-01, 2.189493767428355e-01
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.003907648173584e+00, 2.095673995888089e-01, 2.967161699056057e-02, 2.536224665622384e+00, 1.005564961670977e+00, 1.001650862507531e+00, 1.780400505709528e-01, 1.987486311063206e-01
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.003541127797813e+00, 2.119729102216310e-01, 2.983611959961089e-02, 2.535449104062108e+00, 1.005047438184184e+00, 1.001500995170648e+00, 1.801422126470706e-01, 1.802656494351376e-01
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.003198487516662e+00, 2.141899982823510e-01, 2.995344147689738e-02, 2.534723423505837e+00, 1.004564282771415e+00, 1.001361440703658e+00, 1.820784532883875e-01, 1.630100989790900e-01
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.002875849298078e+00, 2.162519786050708e-01, 3.002918920055117e-02, 2.534039595633775e+00, 1.004109841975304e+00, 1.001230454076733e+00, 1.838777548340336e-01, 1.467800705465658e-01
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.002570882363649e+00, 2.181876837550288e-01, 3.006743822132173e-02, 2.533393298483190e+00, 1.003680214853952e+00, 1.001106487840229e+00, 1.855649799684600e-01, 1.314362447839954e-01
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.002280123720860e+00, 2.200116287494738e-01, 3.007182018519363e-02, 2.532776547862134e+00, 1.003271168079778e+00, 1.000988789795850e+00, 1.871531984286894e-01, 1.168274314206313e-01
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.002002720834362e+00, 2.217420481729922e-01, 3.004506871178170e-02, 2.532188192899044e+00, 1.002880844801159e+00, 1.000876368844654e+00, 1.886580680390966e-01, 1.028873143271238e-01
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.001736719203559e+00, 2.233888142164527e-01, 2.998975431682306e-02, 2.531623826767011e+00, 1.002506756321653e+00, 1.000768702098398e+00, 1.900884427370447e-01, 8.952701148759856e-02
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.001480780173304e+00, 2.249617471669207e-01, 2.990784321188343e-02, 2.531080608991351e+00, 1.002147020396337e+00, 1.000665255126432e+00, 1.914529775016921e-01, 7.667929986917728e-02
17, 9.214000105860000e-01, -1.087086069705918e-02, 1.001233301685331e+00, 2.264692313354357e-01, 2.980168444521882e-02, 2.530554972201176e+00, 1.001799552261630e+00, 1.000565553078735e+00, 1.927592372320487e-01, 6.426972362965398e-02
18, 9.126999974250000e-01, -1.200973104171110e-02, 1.000994044956988e+00, 2.279211286600377e-01, 2.967259905211720e-02, 2.530046881705796e+00, 1.001463544229216e+00, 1.000469033032308e+00, 1.940156751260598e-01, 5.226943675771892e-02
19, 9.035800099370001e-01, -1.319055953446835e-02, 1.000761887230399e+00, 2.293214389368329e-01, 2.952277106141444e-02, 2.529553725780413e+00, 1.001137646922574e+00, 1.000375473623616e+00, 1.952260846866986e-01, 4.063024723479796e-02
20, 8.940600156780000e-01, -1.440916392228702e-02, 1.000536210709994e+00, 2.306749695999100e-01, 2.935276853271420e-02, 2.529074210568624e+00, 1.000820974649196e+00, 1.000284611327559e+00, 1.963946753423093e-01, 2.932052318555773e-02
21, 8.841500282290000e-01, -1.566269158090452e-02, 1.000317187797264e+00, 2.319859328127804e-01, 2.916364202620735e-02, 2.528609002111485e+00, 1.000513469541016e+00, 1.000196219505319e+00, 1.975250607457808e-01, 1.833819789342258e-02
22, 8.738499879840000e-01, -1.694956337677533e-02, 1.000102133872579e+00, 2.332591023048192e-01, 2.895749926880559e-02, 2.528151643852217e+00, 1.000212116856742e+00, 1.000109971752323e+00, 1.986220171890608e-01, 7.575602026505776e-03
23, 8.631799817090000e-01, -1.826569132102762e-02, 9.998933707939147e-01, 2.345000666204203e-01, 2.873468359504731e-02, 2.527708304996463e+00, 9.999189388920201e-01, 1.000025570824702e+00, 1.996898325009800e-01, -2.895039570710579e-03
24, 8.521599769590000e-01, -1.960709133914372e-02, 9.996879832990079e-01, 2.357081082691282e-01, 2.849583480536064e-02, 2.527271585686769e+00, 9.996310504992094e-01, 9.999430494306729e-01, 2.007285495577423e-01, -1.317676788537797e-02
25, 8.407700061800000e-01, -2.097463226217677e-02, 9.994869738226817e-01, 2.368913473204521e-01, 2.824222582233979e-02, 2.526844531213577e+00, 9.993489429462870e-01, 9.998618982738048e-01, 2.017449696097604e-01, -2.325203763260874e-02
26, 8.290500044819999e-01, -2.236196298315981e-02, 9.992892444387165e-01, 2.380492584939796e-01, 2.797391273117748e-02, 2.526424324699384e+00, 9.990715596387049e-01, 9.997821603692596e-01, 2.027388849078682e-01, -3.315858433196913e-02
27, 8.170099854470000e-01, -2.376642068849115e-02, 9.990943367003152e-01, 2.391851832248400e-01, 2.769168363568123e-02, 2.526010026046953e+00, 9.987982232398934e-01, 9.997036181173847e-01, 2.037133098098377e-01, -4.292059857523489e-02
28, 8.046399950980000e-01, -2.518763605296113e-02, 9.989011301833454e-01, 2.403007654272126e-01, 2.739544645032231e-02, 2.525598914057875e+00, 9.985277021396475e-01, 9.996261611560804e-01, 2.046698758264853e-01, -5.258206644116155e-02
29, 7.919700145720000e-01, -2.662062628442961e-02, 9.987107085026303e-01, 2.414033155377113e-01, 2.708592369293743e-02, 2.525194203773570e+00, 9.982606042492126e-01, 9.995493146818338e-01, 2.056146504040924e-01, -6.212127681383607e-02
