"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 9.997500181200000e-01, -3.632896574592246e-05, 1.014067435025936e+00, 1.530582634703185e-01, 1.933077308719804e-02, 2.558805327296190e+00, 1.018828062263349e+00, 1.004694586447588e+00, 1.282759541408524e-01, 6.724307951196149e-01
1, 9.990000128750000e-01, -1.452537854904942e-04, 1.008924177906538e+00, 1.742041239727262e-01, 2.455136054688341e-02, 2.546873698806086e+00, 1.012614262071698e+00, 1.003657444479938e+00, 1.471004307349942e-01, 4.505093597035169e-01
2, 9.977599978450000e-01, -3.251115477089107e-04, 1.007678026088370e+00, 1.856202438276140e-01, 2.663043089919409e-02, 2.544336255380891e+00, 1.010755277864813e+00, 1.003053804585169e+00, 1.570368420053323e-01, 3.841170666004567e-01
3, 9.960200190539999e-01, -5.770004367593505e-04, 1.006525108306874e+00, 1.919064488173682e-01, 2.763592434068092e-02, 2.541781186724370e+00, 1.009242848924506e+00, 1.002700122028952e+00, 1.625820389688174e-01, 3.301017473037937e-01
4, 9.937800168990000e-01, -9.004440382215399e-04, 1.005807088639037e+00, 1.966356841254732e-01, 2.829041798673073e-02, 2.540241768620850e+00, 1.008249091246955e+00, 1.002427903556757e+00, 1.667270024933815e-01, 2.946104016769584e-01
5, 9.910500049590000e-01, -1.293384536708934e-03, 1.005232471108247e+00, 2.005903432396535e-01, 2.878522604033491e-02, 2.539024194057302e+00, 1.007439413287165e+00, 1.002195454526538e+00, 1.701882487737071e-01, 2.656933316844691e-01
6, 9.878399968150000e-01, -1.753656705922616e-03, 1.004741528791799e+00, 2.039604424552976e-01, 2.916290163561115e-02, 2.537986830536095e+00, 1.006744730755970e+00, 1.001993748548027e+00, 1.731369224957040e-01, 2.408832412846365e-01
7, 9.841300249100000e-01, -2.283268701030909e-03, 1.004309078228637e+00, 2.069314893866504e-01, 2.945299663858681e-02, 2.537075720568191e+00, 1.006130153725291e+00, 1.001813262008809e+00, 1.757344413815757e-01, 2.189340616175247e-01
8, 9.799500107769999e-01, -2.876984522277481e-03, 1.003907240743495e+00, 2.095690760201399e-01, 2.967550365378962e-02, 2.536223774656061e+00, 1.005564415725667e+00, 1.001650725201409e+00, 1.780419896161259e-01, 1.987291330595245e-01
9, 9.752799868580000e-01, -3.536570198488602e-03, 1.003540584437208e+00, 2.119752368779142e-01, 2.984055325162466e-02, 2.535447916762238e+00, 1.005046709008924e+00, 1.001500810824270e+00, 1.801447857035979e-01, 1.802396074615838e-01
10, 9.701499938960000e-01, -4.256616907963382e-03, 1.003197786982971e+00, 2.141931934271766e-01, 2.995807145584976e-02, 2.534721897582190e+00, 1.004563337712607e+00, 1.001361197908682e+00, 1.820818064220692e-01, 1.629763468788325e-01
11, 9.645400047300000e-01, -5.038681439052033e-03, 1.002875000932424e+00, 2.162560867511790e-01, 3.003362900699269e-02, 2.534037754941093e+00, 1.004108690133696e+00, 1.001230152511654e+00, 1.838818794619310e-01, 1.467389333462926e-01
12, 9.584699869160000e-01, -5.878634942388199e-03, 1.002569921593349e+00, 2.181925750460717e-01, 3.007137086058405e-02, 2.533391222164011e+00, 1.003678902074735e+00, 1.001106137793985e+00, 1.855697250189618e-01, 1.313893598119795e-01
13, 9.519400000570000e-01, -6.775073126744369e-03, 1.002279096627897e+00, 2.200170576707159e-01, 3.007507279632886e-02, 2.532774335523315e+00, 1.003269757333485e+00, 1.000988408028185e+00, 1.871583305910626e-01, 1.167770476244803e-01
14, 9.449599981310000e-01, -7.725178875240819e-03, 1.002001670124850e+00, 2.217477443439992e-01, 3.004762560113201e-02, 2.532185935023240e+00, 1.002879396272447e+00, 1.000875972739135e+00, 1.886633515861048e-01, 1.028355811588191e-01
15, 9.375399947170000e-01, -8.726109652340726e-03, 1.001735672439660e+00, 2.233945638337642e-01, 2.999171599132761e-02, 2.531621579968944e+00, 1.002505310635179e+00, 1.000768304670278e+00, 1.900937051619658e-01, 8.947537982782555e-02
16, 9.296900033950000e-01, -9.775014200641672e-03, 1.001479747336344e+00, 2.249674358015316e-01, 2.990935619842185e-02, 2.531078392184797e+00, 1.002145593852488e+00, 1.000664862687353e+00, 1.914581379217099e-01, 7.662835187456842e-02
17, 9.214000105860000e-01, -1.087167491609583e-02, 1.001232278164485e+00, 2.264748440753512e-01, 2.980287710917857e-02, 2.530552773770436e+00, 1.001798140209063e+00, 1.000565165603346e+00, 1.927642988868918e-01, 6.421929318081326e-02
