"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.014056654702475e+00, 1.529794340627701e-01, 1.932226815621935e-02, 2.558774764733812e+00, 1.018820610244685e+00, 1.004697918523702e+00, 1.282111898918163e-01, 6.721646515958953e-01
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.008921855514499e+00, 1.740980997155920e-01, 2.453652525710998e-02, 2.546862537882735e+00, 1.012617248324114e+00, 1.003662714599170e+00, 1.470108672842567e-01, 4.506160115755015e-01
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.007679582392655e+00, 1.854884135582548e-01, 2.661152102496242e-02, 2.544333103847379e+00, 1.010763937956905e+00, 1.003060849518184e+00, 1.569245190659833e-01, 3.844263556037462e-01
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.006531257029944e+00, 1.917498971245153e-01, 2.761319107956363e-02, 2.541787958379889e+00, 1.009257787248907e+00, 1.002708838101073e+00, 1.624476883043916e-01, 3.306352588895208e-01
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.005817747075889e+00, 1.964526722411516e-01, 2.826345838870662e-02, 2.540258146469696e+00, 1.008270333462964e+00, 1.002438400390334e+00, 1.665691146474585e-01, 2.953690522487031e-01
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.005247667854053e+00, 2.003800802791325e-01, 2.875374649247963e-02, 2.539050174967597e+00, 1.007467063355846e+00, 1.002207809650065e+00, 1.700060800629057e-01, 2.666808341373498e-01
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.004761532514161e+00, 2.037228441765342e-01, 2.912680288743805e-02, 2.538023060086251e+00, 1.006779090810780e+00, 1.002007997152888e+00, 1.729303058648041e-01, 2.421103860992813e-01
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.004333965007451e+00, 2.066656211317832e-01, 2.941221358848290e-02, 2.537122310258863e+00, 1.006171380819297e+00, 1.001829486879728e+00, 1.755025368699769e-01, 2.204064578320485e-01
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.003937324211839e+00, 2.092743609619528e-01, 2.963007329058674e-02, 2.536281456858021e+00, 1.005612883863239e+00, 1.001668988303344e+00, 1.777842263515257e-01, 2.004601379728054e-01
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.003575973749529e+00, 2.116507070474110e-01, 2.979071737124967e-02, 2.535516885986612e+00, 1.005102608853080e+00, 1.001521195348916e+00, 1.798603276125234e-01, 1.822360304671549e-01
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.003238685452149e+00, 2.138381841709129e-01, 2.990417564601096e-02, 2.534802603857416e+00, 1.004626936479709e+00, 1.001383769433626e+00, 1.817700655688021e-01, 1.652477314181833e-01
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.002921524633971e+00, 2.158700265748714e-01, 2.997607943047207e-02, 2.534130435526718e+00, 1.004180160190688e+00, 1.001254969133479e+00, 1.835423686644224e-01, 1.492914353817186e-01
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.002622188105835e+00, 2.177750678162674e-01, 3.001049899257933e-02, 2.533496128013317e+00, 1.003758407171699e+00, 1.001133247477807e+00, 1.852020950665036e-01, 1.342288275606610e-01
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.002337206010737e+00, 2.195678200073384e-01, 3.001107224889022e-02, 2.532891680544459e+00, 1.003357436642011e+00, 1.001017851702158e+00, 1.867623141309911e-01, 1.199084515003946e-01
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.002065712914242e+00, 2.212665304685574e-01, 2.998055063791912e-02, 2.532315910515992e+00, 1.002975377902884e+00, 1.000907789755620e+00, 1.882386990749470e-01, 1.062634965315652e-01
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.001805766990539e+00, 2.228810495914347e-01, 2.992149940961479e-02, 2.531764441985544e+00, 1.002609756176205e+00, 1.000802539985453e+00, 1.896400824976120e-01, 9.320557772161757e-02
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.001556027155884e+00, 2.244212267834122e-01, 2.983589527325958e-02, 2.531234430311328e+00, 1.002258684663018e+00, 1.000701565851618e+00, 1.909751453972934e-01, 8.066730939351335e-02
