"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.004805994294316e+00, 6.989841780008792e-02, 8.591558390701528e-03, 2.517744848175362e+00, 1.006110762896855e+00, 1.001298527884933e+00, 5.919642276884075e-02, 8.729661281221549e-01
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.002463169247972e+00, 8.327020049803974e-02, 1.160777426415849e-02, 2.512178272672409e+00, 1.003461049434257e+00, 1.000995428277962e+00, 7.084680382537362e-02, 4.944356334652957e-01
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.002112189369568e+00, 9.099793152123765e-02, 1.299134699420666e-02, 2.511496252181034e+00, 1.002912182967592e+00, 1.000798307421574e+00, 7.749242585926099e-02, 4.160261382274276e-01
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.001676767978813e+00, 9.489949474270726e-02, 1.365478343094858e-02, 2.510512005341102e+00, 1.002369406226936e+00, 1.000691478798616e+00, 8.086711742818969e-02, 3.384866038480540e-01
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.001464827333061e+00, 9.746303438384539e-02, 1.402173023350044e-02, 2.510053163923415e+00, 1.002084971507823e+00, 1.000619237099333e+00, 8.307194264519185e-02, 2.978530725460870e-01
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.001303498826662e+00, 9.947994961390116e-02, 1.427634654566467e-02, 2.509706958144217e+00, 1.001865398027791e+00, 1.000561167719666e+00, 8.480290195318063e-02, 2.664854325416284e-01
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.001178881117887e+00, 1.011938230482774e-01, 1.446823002958566e-02, 2.509444831924570e+00, 1.001690489716365e+00, 1.000511006182938e+00, 8.627034351762330e-02, 2.414985309092836e-01
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.001072837874909e+00, 1.027094588393345e-01, 1.461742731596958e-02, 2.509224072367841e+00, 1.001539355418738e+00, 1.000466017582516e+00, 8.756566068385709e-02, 2.199079169625331e-01
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.000973994591532e+00, 1.040492500914308e-01, 1.473202670581539e-02, 2.509016636327922e+00, 1.001400147845656e+00, 1.000425738587043e+00, 8.870942874569374e-02, 2.000211208080647e-01
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.000885068195991e+00, 1.052594786385444e-01, 1.481610457751353e-02, 2.508830525535148e+00, 1.001274393576136e+00, 1.000388981105340e+00, 8.974055766305686e-02, 1.820562251622400e-01
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.000802466868417e+00, 1.063685687739827e-01, 1.487540519777430e-02, 2.508657497274144e+00, 1.001157738783967e+00, 1.000354987050204e+00, 9.068379763416817e-02, 1.653912548523921e-01
