"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 9.997500181200000e-01, -3.632896574592246e-05, 1.014055576767146e+00, 1.529398033694110e-01, 1.931730763384434e-02, 2.558770348492368e+00, 1.018821267715879e+00, 1.004699634870040e+00, 1.281780070995535e-01, 6.721881327099725e-01
1, 9.990000128750000e-01, -1.452537854904942e-04, 1.008924107197771e+00, 1.740345224519225e-01, 2.452775062458695e-02, 2.546865038446831e+00, 1.012622735077389e+00, 1.003665912880099e+00, 1.469566412955314e-01, 4.508119670496185e-01
2, 9.977599978450000e-01, -3.251115477089107e-04, 1.007686071448770e+00, 1.853998394173835e-01, 2.659908293580358e-02, 2.544344704321728e+00, 1.010775274491582e+00, 1.003065640312335e+00, 1.568482321417006e-01, 3.848312318422025e-01
3, 9.960200190539999e-01, -5.770004367593505e-04, 1.006542038876809e+00, 1.916353370397643e-01, 2.759721666572585e-02, 2.541808743954940e+00, 1.009275083641537e+00, 1.002715281288974e+00, 1.623484365231586e-01, 3.312529871977564e-01
4, 9.937800168990000e-01, -9.004440382215399e-04, 1.005833122215467e+00, 1.963104278490846e-01, 2.824384682008257e-02, 2.540288745131050e+00, 1.008294021885708e+00, 1.002446628188999e+00, 1.664453824183317e-01, 2.962150673467200e-01
5, 9.910500049590000e-01, -1.293384536708934e-03, 1.005267612240134e+00, 2.002093186567321e-01, 2.873060423122714e-02, 2.539090440396845e+00, 1.007497205321843e+00, 1.002217909991889e+00, 1.698571392706534e-01, 2.677573329229705e-01
6, 9.878399968150000e-01, -1.753656705922616e-03, 1.004786276510138e+00, 2.035238080041253e-01, 2.910040993773346e-02, 2.538073555004910e+00, 1.006815936413794e+00, 1.002019991664999e+00, 1.727563108679247e-01, 2.434263004926457e-01
7, 9.841300249100000e-01, -2.283268701030909e-03, 1.004363479146041e+00, 2.064379074028614e-01, 2.938270404334019e-02, 2.537182908148158e+00, 1.006214952598967e+00, 1.001843429685935e+00, 1.753031318960723e-01, 2.219625928202495e-01
8, 9.799500107769999e-01, -2.876984522277481e-03, 1.003971824234414e+00, 2.090180883405584e-01, 2.959737735000226e-02, 2.536352681014467e+00, 1.005663419682111e+00, 1.001684903307906e+00, 1.775594265878576e-01, 2.022649886468229e-01
9, 9.752799868580000e-01, -3.536570198488602e-03, 1.003615483872082e+00, 2.113655630699017e-01, 2.975462724111826e-02, 2.535598751577944e+00, 1.005160178953450e+00, 1.001539130380301e+00, 1.796098079482073e-01, 1.842921054803454e-01
