"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 9.997500181200000e-01, -3.632896574592246e-05, 1.008862724232891e+00, 1.107129579540358e-01, 1.380946145925319e-02, 2.535270659129099e+00, 1.011640522503964e+00, 1.002753395684418e+00, 9.333782511055043e-02, 7.390807939024886e-01
1, 9.990000128750000e-01, -1.452537854904942e-04, 1.005174807258419e+00, 1.284713585662666e-01, 1.802388323369959e-02, 2.526638573162939e+00, 1.007306807668781e+00, 1.002121024517294e+00, 1.089615159228429e-01, 4.639242964305400e-01
2, 9.977599978450000e-01, -3.251115477089107e-04, 1.004443183184164e+00, 1.381997216335701e-01, 1.979168333948928e-02, 2.525181501873938e+00, 1.006191669679443e+00, 1.001740752015198e+00, 1.173676989776945e-01, 3.931218844090980e-01
3, 9.960200190539999e-01, -5.770004367593505e-04, 1.003686086400989e+00, 1.432636936570293e-01, 2.062798448409695e-02, 2.523490013262736e+00, 1.005221393352616e+00, 1.001529668461512e+00, 1.217862278520317e-01, 3.315170382613166e-01
4, 9.937800168990000e-01, -9.004440382215399e-04, 1.003262242568910e+00, 1.468831257088946e-01, 2.113342129705388e-02, 2.522579436057371e+00, 1.004641840629098e+00, 1.001375112110924e+00, 1.249235562295190e-01, 2.947200399427446e-01
5, 9.910500049590000e-01, -1.293384536708934e-03, 1.002929360004935e+00, 1.498640285260983e-01, 2.150683429656934e-02, 2.521872791588217e+00, 1.004178152441474e+00, 1.001245144958697e+00, 1.275027376698629e-01, 2.652795200935813e-01
6, 9.878399968150000e-01, -1.753656705922616e-03, 1.002653940898785e+00, 1.524108810759158e-01, 2.179246258377901e-02, 2.521293491169554e+00, 1.003789147342395e+00, 1.001132201647352e+00, 1.297029672951338e-01, 2.405807836440985e-01
7, 9.841300249100000e-01, -2.283268701030909e-03, 1.002414182761453e+00, 1.546575310959499e-01, 2.201290491617365e-02, 2.520791898299563e+00, 1.003447809872139e+00, 1.001031137755692e+00, 1.316410150473849e-01, 2.189085633104337e-01
8, 9.799500107769999e-01, -2.876984522277481e-03, 1.002190759957368e+00, 1.566459176140622e-01, 2.218179824387740e-02, 2.520320900660573e+00, 1.003133308088823e+00, 1.000940487748555e+00, 1.333557276123667e-01, 1.989401961157571e-01
9, 9.752799868580000e-01, -3.536570198488602e-03, 1.001988212392345e+00, 1.584527244625336e-01, 2.230635401034130e-02, 2.519894934309437e+00, 1.002847167228816e+00, 1.000857250440522e+00, 1.349113000484509e-01, 1.807725224645048e-01
10, 9.701499938960000e-01, -4.256616907963382e-03, 1.001799285124256e+00, 1.601148399687480e-01, 2.239470520575735e-02, 2.519497248363288e+00, 1.002580631537063e+00, 1.000779943072839e+00, 1.363403834448836e-01, 1.638496214008046e-01
11, 9.645400047300000e-01, -5.038681439052033e-03, 1.001621810501582e+00, 1.616582257250864e-01, 2.245133134202044e-02, 2.519123418309300e+00, 1.002330504666312e+00, 1.000707546658129e+00, 1.376654309248355e-01, 1.479685502420047e-01
12, 9.584699869160000e-01, -5.878634942388199e-03, 1.001454586213972e+00, 1.631045723278078e-01, 2.247931932987580e-02, 2.518771295027314e+00, 1.002094708601104e+00, 1.000639192626350e+00, 1.389050647251858e-01, 1.329973714986562e-01
13, 9.519400000570000e-01, -6.775073126744369e-03, 1.001295317969123e+00, 1.644651069376525e-01, 2.248161501780094e-02, 2.518435546869874e+00, 1.001870508919422e+00, 1.000574446858961e+00, 1.400692980360888e-01, 1.187624710744394e-01
14, 9.449599981310000e-01, -7.725178875240819e-03, 1.001143814012937e+00, 1.657538538908004e-01, 2.246038630726054e-02, 2.518116267051793e+00, 1.001657138212310e+00, 1.000512737722782e+00, 1.411701300826496e-01, 1.052151245911150e-01
15, 9.375399947170000e-01, -8.726109652340726e-03, 1.000998881125293e+00, 1.669786052309124e-01, 2.241768840877133e-02, 2.517810766875603e+00, 1.001453090149770e+00, 1.000453755776397e+00, 1.422144729515207e-01, 9.225969204889020e-02
16, 9.296900033950000e-01, -9.775014200641672e-03, 1.000859590954646e+00, 1.681469005407462e-01, 2.235514072806532e-02, 2.517517022327473e+00, 1.001257124811763e+00, 1.000397192434094e+00, 1.432089522819892e-01, 7.981744836593227e-02
17, 9.214000105860000e-01, -1.087167491609583e-02, 1.000725169730894e+00, 1.692644355202834e-01, 2.227434286424810e-02, 2.517233321585265e+00, 1.001068233720210e+00, 1.000342815389972e+00, 1.441586302746233e-01, 6.782436318793154e-02
18, 9.126999974250000e-01, -1.201055778202881e-02, 1.000595327752155e+00, 1.703384669871260e-01, 2.217624822327455e-02, 2.516959248331149e+00, 1.000885814642737e+00, 1.000290314058567e+00, 1.450697477679255e-01, 5.624219953887575e-02
19, 9.035800099370001e-01, -1.319139033937139e-02, 1.000469575028283e+00, 1.713730523415388e-01, 2.206245679560985e-02, 2.516693742802717e+00, 1.000709204668441e+00, 1.000239517168876e+00, 1.459459624989385e-01, 4.502886783753365e-02
20, 8.940600156780000e-01, -1.440998805244900e-02, 1.000347514925023e+00, 1.723723655920584e-01, 2.193364185301867e-02, 2.516435985621100e+00, 1.000537828632140e+00, 1.000190247593239e+00, 1.467909193822986e-01, 3.414784965967004e-02
21, 8.841500282290000e-01, -1.566349413263757e-02, 1.000229342771713e+00, 1.733382387896195e-01, 2.179035567843118e-02, 2.516186531009601e+00, 1.000371819109913e+00, 1.000142443669774e+00, 1.476061966632645e-01, 2.360756253416697e-02
22, 8.738499879840000e-01, -1.695032423177773e-02, 1.000113341421469e+00, 1.742742784505869e-01, 2.163402280638790e-02, 2.515941235712749e+00, 1.000209282271224e+00, 1.000095929976915e+00, 1.483952443861625e-01, 1.328776325229410e-02
23, 8.631799817090000e-01, -1.826638501234948e-02, 1.000001016319619e+00, 1.751852230612974e-01, 2.146514208136320e-02, 2.515704090910379e+00, 1.000051519755219e+00, 1.000050503384273e+00, 1.491618925312978e-01, 3.271095569467261e-03
24, 8.521599769590000e-01, -1.960768751843075e-02, 9.998906975990921e-01, 1.760707415799211e-01, 2.128413670105571e-02, 2.515470877882729e+00, 9.998968793769986e-01, 1.000006182453664e+00, 1.499061685509066e-01, -6.547341142948595e-03
25, 8.407700061800000e-01, -2.097509599000216e-02, 9.997828887240360e-01, 1.769367368686222e-01, 2.109205732788676e-02, 2.515243145456710e+00, 9.997455824150454e-01, 9.999626855896304e-01, 1.506330944106676e-01, -1.615349745743439e-02
26, 8.290500044819999e-01, -2.236225618174383e-02, 9.996771881575351e-01, 1.777830537541628e-01, 2.088880586926542e-02, 2.515019865364792e+00, 9.995972454132416e-01, 9.999200314409087e-01, 1.513426069753435e-01, -2.557171979418571e-02
27, 8.170099854470000e-01, -2.376650281994303e-02, 9.995729187499290e-01, 1.786128013211621e-01, 2.067535520387983e-02, 2.514799491865087e+00, 9.994510334367941e-01, 9.998780626096921e-01, 1.520375469900153e-01, -3.485501988608956e-02
28, 8.046399950980000e-01, -2.518746460071468e-02, 9.994697141213841e-01, 1.794256273236388e-01, 2.045130572049839e-02, 2.514581075837261e+00, 9.993066074539532e-01, 9.998368067935164e-01, 1.527176547194435e-01, -4.402492355852915e-02
