"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.008867866343442e+00, 1.107524365225500e-01, 1.381379627852739e-02, 2.535284801511655e+00, 1.011644435039926e+00, 1.002752162883875e+00, 9.337062842946346e-02, 7.393292088841811e-01
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.005176193387911e+00, 1.285310344058167e-01, 1.803215809050342e-02, 2.526644255345840e+00, 1.007305974224038e+00, 1.002118813447968e+00, 1.090120878781924e-01, 4.638713793039862e-01
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.004442288663218e+00, 1.382791532647029e-01, 1.980290453850607e-02, 2.525182427585258e+00, 1.006187575232671e+00, 1.001737567791750e+00, 1.174354300459604e-01, 3.928619195346523e-01
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.003682604703942e+00, 1.433625618197401e-01, 2.064187047263705e-02, 2.523485378702178e+00, 1.005213764005825e+00, 1.001525541336183e+00, 1.218709060670445e-01, 3.310326352905020e-01
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.003256134136465e+00, 1.470027751876737e-01, 2.115001941949160e-02, 2.522569205908314e+00, 1.004630572097300e+00, 1.001369977131530e+00, 1.250263255000501e-01, 2.940045776063282e-01
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.002920658177249e+00, 1.500051904022156e-01, 2.152608476707468e-02, 2.521857098720024e+00, 1.004163229070024e+00, 1.001238952336502e+00, 1.276242181683348e-01, 2.643320044459951e-01
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.002642524882685e+00, 1.525734531355348e-01, 2.181417232722194e-02, 2.521272044478723e+00, 1.003770435740757e+00, 1.001124938180938e+00, 1.298430837916133e-01, 2.393927454448942e-01
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.002400096075762e+00, 1.548417841973317e-01, 2.203696890025631e-02, 2.520764834309713e+00, 1.003425326423968e+00, 1.001022775588530e+00, 1.317999931549222e-01, 2.174810427916248e-01
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.002173864016244e+00, 1.568517335994096e-01, 2.220826113219761e-02, 2.520287880293511e+00, 1.003106904727059e+00, 1.000931016806881e+00, 1.335335088632742e-01, 1.972637921942428e-01
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.001968511766818e+00, 1.586803372217886e-01, 2.233536859927669e-02, 2.519855993856669e+00, 1.002816823672884e+00, 1.000846645274880e+00, 1.351081126169692e-01, 1.788459474847298e-01
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.001776683323212e+00, 1.603644543033969e-01, 2.242654179151377e-02, 2.519452169786028e+00, 1.002546226618155e+00, 1.000768178485040e+00, 1.365564582959185e-01, 1.616651821050555e-01
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.001596231485384e+00, 1.619302190131261e-01, 2.248626872647027e-02, 2.519072042349677e+00, 1.002291930224305e+00, 1.000694590012474e+00, 1.379011410118181e-01, 1.455193793209217e-01
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.001425926503433e+00, 1.633994452420407e-01, 2.251758276609548e-02, 2.518713399167248e+00, 1.002051823442402e+00, 1.000625005726739e+00, 1.391608832011758e-01, 1.302745042794823e-01
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.001263464259480e+00, 1.647834539426704e-01, 2.252332219225779e-02, 2.518370887292238e+00, 1.001823158457977e+00, 1.000558987937217e+00, 1.403457653959123e-01, 1.157560925699741e-01
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.001108673523541e+00, 1.660962758739690e-01, 2.250552004915848e-02, 2.518044651178215e+00, 1.001605188833350e+00, 1.000495965446051e+00, 1.414677736990865e-01, 1.019167513238188e-01
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.000960358324412e+00, 1.673456789988748e-01, 2.246614870739385e-02, 2.517731993480680e+00, 1.001396407144598e+00, 1.000435630458848e+00, 1.425337912295742e-01, 8.866077108555841e-02
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.000817596395132e+00, 1.685391023563994e-01, 2.240678855206480e-02, 2.517430900532642e+00, 1.001195584644673e+00, 1.000377679460176e+00, 1.435503544282233e-01, 7.591013616972545e-02
17, 9.214000105860000e-01, -1.087086069705918e-02, 1.000679626747095e+00, 1.696821832811647e-01, 2.232904248131269e-02, 2.517139689585864e+00, 1.001001728577164e+00, 1.000321883069726e+00, 1.445224755025016e-01, 6.360181442310876e-02
18, 9.126999974250000e-01, -1.200973104171110e-02, 1.000546148947701e+00, 1.707822382817190e-01, 2.223392745725633e-02, 2.516857920975180e+00, 1.000814222389154e+00, 1.000267927113342e+00, 1.454564545513932e-01, 5.169665962880188e-02
19, 9.035800099370001e-01, -1.319055953446835e-02, 1.000416693726657e+00, 1.718432494052996e-01, 2.212307588587011e-02, 2.516584583403033e+00, 1.000632427538806e+00, 1.000215643954666e+00, 1.463558867834374e-01, 4.015412944799238e-02
20, 8.940600156780000e-01, -1.440916392228702e-02, 1.000290837514250e+00, 1.728694734467244e-01, 2.199721211672916e-02, 2.516318794505522e+00, 1.000455737265636e+00, 1.000164851806296e+00, 1.472244964625992e-01, 2.893569940544428e-02
21, 8.841500282290000e-01, -1.566269158090452e-02, 1.000168802620080e+00, 1.738626827280199e-01, 2.185688738474523e-02, 2.516061172930437e+00, 1.000284314452072e+00, 1.000115492336583e+00, 1.480638072103412e-01, 1.805171124267364e-02
22, 8.738499879840000e-01, -1.694956337677533e-02, 1.000048813528985e+00, 1.748266278795636e-01, 2.170355850479586e-02, 2.515807436721841e+00, 1.000116198809868e+00, 1.000067381991731e+00, 1.488774033354380e-01, 7.377702213863548e-03
23, 8.631799817090000e-01, -1.826569132102762e-02, 9.999324405751453e-01, 1.757661126342580e-01, 2.153770895927453e-02, 2.515561743351200e+00, 9.999527537600238e-01, 1.000020314557319e+00, 1.496691580048677e-01, -2.999761268330563e-03
24, 8.521599769590000e-01, -1.960709133914372e-02, 9.998179387773954e-01, 1.766807658305776e-01, 2.135975384119209e-02, 2.515319683670528e+00, 9.997922535777803e-01, 9.999743101232548e-01, 1.504390760204500e-01, -1.319024902981948e-02
25, 8.407700061800000e-01, -2.097463226217677e-02, 9.997058631471952e-01, 1.775766666168541e-01, 2.117072760721342e-02, 2.515082945425454e+00, 9.996349617721121e-01, 9.999290777640738e-01, 1.511923189249989e-01, -2.317703034208984e-02
26, 8.290500044819999e-01, -2.236196298315981e-02, 9.995957697179607e-01, 1.784535623397693e-01, 2.097051781796713e-02, 2.514850389006011e+00, 9.994804570907913e-01, 9.998846407411250e-01, 1.519287467709489e-01, -3.298685137833320e-02
27, 8.170099854470000e-01, -2.376642068849115e-02, 9.994869784607904e-01, 1.793146431938666e-01, 2.076009605204665e-02, 2.514620466235893e+00, 9.993278968749735e-01, 9.998408367600129e-01, 1.526512701008862e-01, -4.267321428739837e-02
28, 8.046399950980000e-01, -2.518763605296113e-02, 9.993791032016615e-01, 1.801594911052968e-01, 2.053901906603763e-02, 2.514392174826459e+00, 9.991769257564094e-01, 9.997976969454292e-01, 1.533595730163386e-01, -5.225868213273822e-02
29, 7.919700145720000e-01, -2.662062628442961e-02, 9.992727679961141e-01, 1.809954172140635e-01, 2.030792305711912e-02, 2.514167450923682e+00, 9.990278015879057e-01, 9.997548553147311e-01, 1.540598174862780e-01, -6.172688330757353e-02
30, 7.790099978450000e-01, -2.806276676215449e-02, 9.991673129926693e-01, 1.818152385832264e-01, 2.006556699385631e-02, 2.513944255340846e+00, 9.988802436577088e-01, 9.997126914269240e-01, 1.547459485655763e-01, -7.109564078039511e-02
31, 7.657799720760000e-01, -2.951033727360171e-02, 9.990650307337304e-01, 1.826266412154826e-01, 1.981106769664956e-02, 2.513728721224099e+00, 9.987361787856959e-01, 9.996708402977603e-01, 1.554240514021050e-01, -8.024261678121451e-02
32, 7.522799968720000e-01, -3.096181144522562e-02, 9.989613841727795e-01, 1.834279894846536e-01, 1.954609830507482e-02, 2.513509396905240e+00, 9.985911075776835e-01, 9.996293384299311e-01, 1.560936419850376e-01, -8.945348713120348e-02
33, 7.385200262070000e-01, -3.241453277608040e-02, 9.988597535785266e-01, 1.842247422567705e-01, 1.926889779024014e-02, 2.513295027964523e+00, 9.984481686561237e-01, 9.995879452336245e-01, 1.567586855213240e-01, -9.852897421436602e-02
34, 7.245299816130000e-01, -3.386376679305321e-02, 9.987567982646647e-01, 1.850200628352598e-01, 1.898087675878593e-02, 2.513077416247167e+00, 9.983038151855136e-01, 9.995464530705194e-01, 1.574225547212681e-01, -1.076942739356452e-01
35, 7.103199958800001e-01, -3.530689307158652e-02, 9.986550481880192e-01, 1.858081960745895e-01, 1.867905339800143e-02, 2.512862582418880e+00, 9.981609211208007e-01, 9.995052074606594e-01, 1.580797701501348e-01, -1.167669129650361e-01
36, 6.958900094030001e-01, -3.674225211597043e-02, 9.985528622024892e-01, 1.865953672081380e-01, 1.836366000153689e-02, 2.512646745467204e+00, 9.980174975849118e-01, 9.994638595132598e-01, 1.587359389530193e-01, -1.258731692119517e-01
37, 6.812700033190000e-01, -3.816515293304169e-02, 9.984508817248123e-01, 1.873773298866550e-01, 1.803251018545420e-02, 2.512431277038296e+00, 9.978744280097172e-01, 9.994226519044190e-01, 1.593872466381167e-01, -1.349569517639904e-01
38, 6.664699912070000e-01, -3.957289370556494e-02, 9.983485231201396e-01, 1.881639471141933e-01, 1.768626367544292e-02, 2.512215249856896e+00, 9.977305877966072e-01, 9.993810424824380e-01, 1.600422699644719e-01, -1.440896637074812e-01
39, 6.514999866490000e-01, -4.096270419333766e-02, 9.982453654527861e-01, 1.889456125219771e-01, 1.732214553869853e-02, 2.511997083534668e+00, 9.975860774195447e-01, 9.993395531238534e-01, 1.606927987482585e-01, -1.532649257431906e-01
40, 6.363800168040000e-01, -4.233084266562091e-02, 9.981424432030912e-01, 1.897361126983662e-01, 1.694013020432264e-02, 2.511780121472454e+00, 9.974411904624035e-01, 9.992974422183301e-01, 1.613504459666097e-01, -1.624640976251723e-01
41, 6.211299896240000e-01, -4.367359094194759e-02, 9.980378888704189e-01, 1.905210309434366e-01, 1.653746625813559e-02, 2.511558896353511e+00, 9.972948285543330e-01, 9.992554788506812e-01, 1.620031881844441e-01, -1.717569171852035e-01
42, 6.057599782940000e-01, -4.498807223669178e-02, 9.979337637890734e-01, 1.913169982502625e-01, 1.611369645422469e-02, 2.511339486159422e+00, 9.971481608611240e-01, 9.992127704698894e-01, 1.626648855849183e-01, -1.810691516746660e-01
43, 5.902799963950000e-01, -4.627132533375768e-02, 9.978275369496871e-01, 1.921077441146727e-01, 1.566593692358095e-02, 2.511114655817735e+00, 9.969995240466150e-01, 9.991701843530967e-01, 1.633220753110390e-01, -1.905064097387328e-01
44, 5.747100114820000e-01, -4.751950934859488e-02, 9.977218763118014e-01, 1.929112664257054e-01, 1.519326950315381e-02, 2.510892087037236e+00, 9.968506162902313e-01, 9.991267506083051e-01, 1.639896901543247e-01, -1.999608704615044e-01
45, 5.590599775310000e-01, -4.872955796694115e-02, 9.976137160936183e-01, 1.937090612031282e-01, 1.469296398880783e-02, 2.510663078503391e+00, 9.966993603684781e-01, 9.990834571433919e-01, 1.646525122784409e-01, -2.095644210490121e-01
46, 5.433599948880000e-01, -4.989683951066199e-02, 9.975067184489183e-01, 1.945201682061588e-01, 1.416347715207752e-02, 2.510437869542157e+00, 9.965483921829480e-01, 9.990392783845504e-01, 1.653262076285559e-01, -2.191497026699686e-01
47, 5.276100039480000e-01, -5.101897737545535e-02, 9.973959979637143e-01, 1.953238382466796e-01, 1.360287374750933e-02, 2.510203072661327e+00, 9.963939233123772e-01, 9.989953091315961e-01, 1.659940520890323e-01, -2.289572500077972e-01
48, 5.118399858470000e-01, -5.209138375948307e-02, 9.972877536265905e-01, 1.961387423232397e-01, 1.300767443243389e-02, 2.509975267086188e+00, 9.962411686380975e-01, 9.989505686952567e-01, 1.666709230433438e-01, -2.386559594858712e-01
49, 4.960500001910000e-01, -5.311153541819326e-02, 9.971758565546119e-01, 1.969462251419238e-01, 1.237687391670729e-02, 2.509738065107181e+00, 9.960849682333518e-01, 9.989060221283044e-01, 1.673422007123229e-01, -2.485734455014733e-01
50, 4.802699983120000e-01, -5.407492053959814e-02, 9.970663887429583e-01, 1.977645568062403e-01, 1.170681357130270e-02, 2.509507743471814e+00, 9.959304281550861e-01, 9.988606971404341e-01, 1.680225170072696e-01, -2.583855139627845e-01
51, 4.645099937920000e-01, -5.497835513414191e-02, 9.969533253280494e-01, 1.985779939937232e-01, 1.099696207398719e-02, 2.509268339028586e+00, 9.957723296550798e-01, 9.988153952216562e-01, 1.686998070514442e-01, -2.684235139631886e-01
52, 4.487800002100000e-01, -5.581859897363720e-02, 9.968415662839045e-01, 1.993974487296956e-01, 1.024372875428535e-02, 2.509032763143625e+00, 9.956149884278493e-01, 9.987695358043430e-01, 1.693827357980211e-01, -2.784134331524226e-01
53, 4.331099987030000e-01, -5.659141825851464e-02, 9.967271180845065e-01, 2.002106626218797e-01, 9.445353035230093e-03, 2.508790334171358e+00, 9.954550458557305e-01, 9.987237507581609e-01, 1.700618832982353e-01, -2.885685170964747e-01
54, 4.174999892710000e-01, -5.729416860686566e-02, 9.966139227865181e-01, 2.010229705705097e-01, 8.597597859559925e-03, 2.508551252651224e+00, 9.952961607396652e-01, 9.986777607489487e-01, 1.707414139374963e-01, -2.986564609736380e-01
55, 4.019699990750000e-01, -5.792324246601335e-02, 9.964999107221538e-01, 2.018379056876886e-01, 7.699529518522940e-03, 2.508310570961418e+00, 9.951360042837473e-01, 9.986313029998989e-01, 1.714251841741337e-01, -3.088251248414435e-01
56, 3.865399956700000e-01, -5.847520956655861e-02, 9.963861962994502e-01, 2.026440066082982e-01, 6.747493971516390e-03, 2.508070448939229e+00, 9.949763346099860e-01, 9.985850248681685e-01, 1.721036728536319e-01, -3.189628819056494e-01
57, 3.712300062180000e-01, -5.894684318665333e-02, 9.962725428876957e-01, 2.034469825305397e-01, 5.738834969151963e-03, 2.507830660411431e+00, 9.948165458958506e-01, 9.985385555365957e-01, 1.727823466225197e-01, -3.291081970888536e-01
58, 3.560400009160000e-01, -5.933561549045978e-02, 9.961596661499966e-01, 2.042314995277659e-01, 4.670536520239624e-03, 2.507592143039004e+00, 9.946582165761875e-01, 9.984927621295773e-01, 1.734486120754885e-01, -3.391608523055575e-01
59, 3.409900069240000e-01, -5.963847719943702e-02, 9.960456356980132e-01, 2.050076255456394e-01, 3.540095559463126e-03, 2.507350692375477e+00, 9.944987643725124e-01, 9.984469874972982e-01, 1.741121171124128e-01, -3.492848017452452e-01
60, 3.261100053790000e-01, -5.985254444802346e-02, 9.959360501907577e-01, 2.057675149826170e-01, 2.343318680157126e-03, 2.507119922963364e+00, 9.943442582580329e-01, 9.984017127079398e-01, 1.747659585914813e-01, -3.590947137756919e-01
61, 3.113999962810000e-01, -5.997565198183213e-02, 9.958224834355933e-01, 2.065083799561709e-01, 1.079495919437746e-03, 2.506878617826114e+00, 9.941862907872324e-01, 9.983569434557094e-01, 1.754101607661147e-01, -3.691243944614339e-01
62, 2.968699932100000e-01, -6.000550062925582e-02, 9.957177152269597e-01, 2.072337138771903e-01, -2.581173460008683e-04, 2.506659060533658e+00, 9.940375089731395e-01, 9.983125676804525e-01, 1.760464314172301e-01, -3.785708588482876e-01
63, 2.825500071050000e-01, -5.994005483718394e-02, 9.956059080308350e-01, 2.079290338676702e-01, -1.668259403838982e-03, 2.506420786936395e+00, 9.938826961244841e-01, 9.982691827233540e-01, 1.766663344850201e-01, -3.884002460645017e-01
64, 2.684499919410000e-01, -5.977765596976551e-02, 9.955061537516570e-01, 2.086039243348954e-01, -3.160322538084163e-03, 2.506212274785388e+00, 9.937404968891960e-01, 9.982263727292828e-01, 1.772759499620132e-01, -3.974287689399387e-01
65, 2.545700073240000e-01, -5.951657836311273e-02, 9.953982880250685e-01, 2.092382905428130e-01, -4.731150895278084e-03, 2.505981894155098e+00, 9.935916482880253e-01, 9.981850081934264e-01, 1.778630466758452e-01, -4.068794737761738e-01
66, 2.409400045870000e-01, -5.915585896897953e-02, 9.953044496765233e-01, 2.098465073479448e-01, -6.392810378716017e-03, 2.505786073439628e+00, 9.934575565496533e-01, 9.981443937807472e-01, 1.784376643673527e-01, -4.153932349426486e-01
67, 2.275699973110000e-01, -5.869456802648413e-02, 9.952021186519606e-01, 2.104037213523364e-01, -8.141117996203496e-03, 2.505567006443219e+00, 9.933168529439013e-01, 9.981056454033551e-01, 1.789842049355515e-01, -4.243267972126183e-01
