"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,   "rms[A_RhoW]"  ,    "rms[A_E]"    
          0,           0,           0,      -5.738404931,      -4.744280959,      -5.172566592,                 0,      -3.965980276
          0,           0,           1,      -4.614224149,      -3.837685832,       -3.79477251,                 0,      -4.138242275
          0,           0,           2,      -4.590358958,      -3.836918276,       -3.86417097,                 0,      -4.219566651
          0,           0,           3,      -4.681958347,      -3.934070861,      -3.957500275,                 0,      -4.327268876
          0,           0,           4,      -4.798308411,      -4.044786969,      -4.074439473,                 0,      -4.376952193
          0,           0,           5,      -4.823674957,      -4.075498714,      -4.124451461,                 0,      -4.453187303
          0,           0,           6,      -4.968409115,      -4.218203535,      -4.222450951,                 0,      -4.557527946
          0,           0,           7,      -5.046615851,      -4.301878719,      -4.282573586,                 0,       -4.64380866
          0,           0,           8,      -5.149393766,      -4.398689816,      -4.381647317,                 0,      -4.768975299
          0,           0,           9,      -5.211124473,      -4.442540364,      -4.477951013,                 0,      -4.819559965
          0,           0,          10,      -5.279280483,      -4.494937794,       -4.54851695,                 0,      -4.943338319
          0,           0,          11,      -5.340552614,      -4.570158101,      -4.599393108,                 0,       -4.98460014
          0,           0,          12,      -5.360111222,      -4.591037596,      -4.640916585,                 0,       -5.07746583
          0,           0,          13,      -5.431261309,      -4.632919966,      -4.717900558,                 0,        -5.1695542
          0,           0,          14,      -5.482987037,      -4.665665176,      -4.773860123,                 0,      -5.251942024
          0,           0,          15,      -5.480272548,      -4.683730164,      -4.802501385,                 0,      -5.340275298
          0,           0,          16,      -5.482610019,      -4.704185126,      -4.840193623,                 0,      -5.377928551
          0,           0,          17,      -5.501111584,      -4.723748004,      -4.859220452,                 0,      -5.456356823
          0,           0,          18,       -5.51766715,      -4.743667877,      -4.881593861,                 0,      -5.507083932
          0,           0,          19,      -5.516749743,      -4.754512673,      -4.893675947,                 0,      -5.529105509
          0,           0,          20,      -5.517619667,      -4.765798354,      -4.903237318,                 0,      -5.537614678
          0,           0,          21,      -5.524185931,      -4.780088483,       -4.91174405,                 0,      -5.551693244
          0,           0,          22,      -5.530869153,      -4.793506811,      -4.922055543,                 0,      -5.565007493
          0,           0,          23,      -5.536066918,      -4.803596078,       -4.93227187,                 0,       -5.56913523
          0,           0,          24,       -5.54228825,      -4.812951754,      -4.942381437,                 0,      -5.573388168
          0,           0,          25,      -5.549444402,      -4.822390732,      -4.952900551,                 0,      -5.577959692
          0,           0,          26,      -5.557051567,      -4.830564696,      -4.965344434,                 0,      -5.584873253
          0,           0,          27,      -5.565786092,      -4.837496167,      -4.980438974,                 0,      -5.592087858
          0,           0,          28,         -5.575615,      -4.844423071,      -4.997452495,                 0,      -5.599872299
          0,           0,          29,      -5.586138978,      -4.851987689,      -5.015616023,                 0,      -5.609690071
          0,           0,          30,      -5.597383258,      -4.859627042,      -5.034898696,                 0,      -5.620840716
          0,           0,          31,      -5.609671294,      -4.867056092,      -5.055487496,                 0,      -5.632847265
          0,           0,          32,      -5.623178064,      -4.874927441,      -5.077123273,                 0,      -5.646342366
          0,           0,          33,      -5.637836348,      -4.883836511,       -5.09918856,                 0,      -5.662510561
          0,           0,          34,      -5.653649199,      -4.893852689,      -5.121413942,                 0,      -5.681277109
          0,           0,          35,      -5.670738388,      -4.904897212,       -5.14386257,                 0,       -5.70178638
          0,           0,          36,      -5.689253025,      -4.917070457,       -5.16660861,                 0,      -5.723660676
          0,           0,          37,      -5.709317216,      -4.930538588,       -5.18968633,                 0,      -5.746976448
          0,           0,          38,      -5.731012191,      -4.945369882,      -5.213170501,                 0,      -5.771582445
          0,           0,          39,      -5.754384627,      -4.961574749,      -5.237150148,                 0,      -5.797110422
          0,           0,          40,      -5.779453496,      -4.979184414,      -5.261687771,                 0,      -5.823418417
          0,           0,          41,      -5.806195313,      -4.998248431,      -5.286863812,                 0,      -5.850641051
          0,           0,          42,      -5.834517624,      -5.018810292,      -5.312778812,                 0,      -5.878951891
          0,           0,          43,      -5.864238849,      -5.040904455,      -5.339466325,                 0,      -5.908437371
          0,           0,          44,      -5.895096259,      -5.064553436,       -5.36687041,                 0,      -5.939139198
          0,           0,          45,      -5.926787925,      -5.089753937,      -5.394928431,                 0,       -5.97102472
          0,           0,          46,      -5.959014517,      -5.116460206,      -5.423605923,                 0,      -6.003831665
          0,           0,          47,      -5.991516271,      -5.144587455,      -5.452841718,                 0,      -6.037101738
          0,           0,          48,      -6.024129038,      -5.174042436,      -5.482525175,                 0,      -6.070488484
          0,           0,          49,      -6.056824958,      -5.204751005,      -5.512549392,                 0,      -6.103972982
          0,           0,          50,      -6.089679939,      -5.236661117,      -5.542857895,                 0,      -6.137767608
          0,           0,          51,      -6.122777164,      -5.269734595,      -5.573445386,                 0,      -6.172148627
          0,           0,          52,      -6.156105568,      -5.303939517,      -5.604357524,                 0,      -6.207392451
          0,           0,          53,      -6.189506827,      -5.339239582,      -5.635701281,                 0,       -6.24373176
          0,           0,          54,      -6.222692191,      -5.375580401,      -5.667631781,                 0,      -6.281288545
          0,           0,          55,      -6.255316774,       -5.41287923,      -5.700309793,                 0,      -6.320032906
          0,           0,          56,      -6.287080139,      -5.451021213,      -5.733849598,                 0,      -6.359760362
          0,           0,          57,      -6.317812826,      -5.489859904,      -5.768271257,                 0,      -6.400029301
          0,           0,          58,      -6.347517325,      -5.529221224,      -5.803485878,                 0,      -6.440103121
          0,           0,          59,       -6.37637188,      -5.568916976,      -5.839362501,                 0,       -6.47913201
          0,           0,          60,        -6.4047215,      -5.608774122,      -5.875848596,                 0,       -6.51668025
          0,           0,          61,       -6.43301732,      -5.648669143,      -5.913004868,                 0,      -6.553064008
          0,           0,          62,      -6.461675977,      -5.688542054,        -5.9509079,                 0,      -6.588982252
          0,           0,          63,      -6.490949207,      -5.728380403,      -5.989540955,                 0,       -6.62492525
          0,           0,          64,      -6.520884484,      -5.768189429,       -6.02875913,                 0,      -6.660991144
          0,           0,          65,      -6.551371328,      -5.807967101,      -6.068307685,                 0,      -6.697052259
          0,           0,          66,      -6.582238144,      -5.847691069,      -6.107863869,                 0,      -6.732961739
          0,           0,          67,      -6.613357901,      -5.887318596,      -6.147096849,                 0,      -6.768655787
          0,           0,          68,       -6.64471515,      -5.926797842,       -6.18573932,                 0,       -6.80416152
          0,           0,          69,      -6.676406082,      -5.966082116,      -6.223659939,                 0,       -6.83956615
          0,           0,          70,      -6.708580998,      -6.005135804,       -6.26090918,                 0,      -6.874978316
          0,           0,          71,      -6.741360913,      -6.043929858,      -6.297698542,                 0,      -6.910481781
          0,           0,          72,      -6.774761322,      -6.082437091,      -6.334306195,                 0,      -6.946086667
          0,           0,          73,      -6.808650232,      -6.120636099,      -6.370961858,                 0,      -6.981712103
          0,           0,          74,      -6.842757027,      -6.158519066,      -6.407783381,                 0,      -7.017229196
          0,           0,          75,       -6.87673241,      -6.196091626,      -6.444793432,                 0,      -7.052535724
          0,           0,          76,      -6.910241881,       -6.23336151,      -6.481982161,                 0,      -7.087598502
          0,           0,          77,      -6.943059785,      -6.270324682,      -6.519354912,                 0,      -7.122434487
          0,           0,          78,      -6.975124151,      -6.306959781,      -6.556928644,                 0,      -7.157055318
          0,           0,          79,      -7.006525835,       -6.34323466,      -6.594690218,                 0,      -7.191413532
          0,           0,          80,        -7.0374367,       -6.37911975,      -6.632560221,                 0,      -7.225374885
          0,           0,          81,      -7.068011161,      -6.414596823,      -6.670396751,                 0,      -7.258731694
          0,           0,          82,      -7.098307618,      -6.449653945,      -6.708041602,                 0,       -7.29126166
          0,           0,          83,      -7.128267344,      -6.484268206,      -6.745383083,                 0,      -7.322812508
          0,           0,          84,      -7.157761278,      -6.518388721,       -6.78239987,                 0,      -7.353370448
          0,           0,          85,      -7.186681214,      -6.551933074,      -6.819162743,                 0,      -7.383074621
          0,           0,          86,      -7.215027746,      -6.584800116,      -6.855796532,                 0,      -7.412170551
          0,           0,          87,      -7.242946798,      -6.616890276,      -6.892424171,                 0,      -7.440926451
          0,           0,          88,       -7.27069305,      -6.648121338,      -6.929117634,                 0,      -7.469546849
          0,           0,          89,      -7.298537166,      -6.678433229,       -6.96587089,                 0,      -7.498111441
          0,           0,          90,      -7.326659943,      -6.707783418,      -7.002597767,                 0,      -7.526554169
          0,           0,          91,      -7.355077774,      -6.736139152,      -7.039149422,                 0,      -7.554684291
          0,           0,          92,      -7.383626133,      -6.763472279,      -7.075342536,                 0,      -7.582240823
          0,           0,          93,      -7.412004217,      -6.789758618,      -7.110988515,                 0,      -7.608963739
          0,           0,          94,      -7.439862786,      -6.814980013,      -7.145914943,                 0,      -7.634659708
