"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.0351809      , 0.001           
1               , -0.0154637      , 0.001           
2               , -0.00432205     , 0.001           
3               , 0.00140684      , 0.001           
4               , 0.00390866      , 0.001           
5               , 0.00459349      , 0.001           
6               , 0.00433826      , 0.001           
7               , 0.00366325      , 0.001           
8               , 0.00285824      , 0.001           
9               , 0.00207244      , 0.001           
10              , 0.00137697      , 0.001           
11              , 0.000806462     , 0.001           
12              , 0.000383563     , 0.001           
13              , 0.000129177     , 0.001           
14              , 5.98209e-05     , 0.001           
15              , 0.000173714     , 0.001           
16              , 0.000424629     , 0.001           
17              , 0.000681357     , 0.001           
18              , 0.000817009     , 0.001           
19              , -0.0344915      , 0.001           
20              , -0.0151785      , 0.001           
21              , -0.0042218      , 0.001           
22              , 0.001433        , 0.001           
23              , 0.00391274      , 0.001           
24              , 0.0045954       , 0.001           
25              , 0.00434194      , 0.001           
26              , 0.00366638      , 0.001           
27              , 0.00285737      , 0.001           
28              , 0.00206465      , 0.001           
29              , 0.00135902      , 0.001           
30              , 0.000772723     , 0.001           
31              , 0.000324522     , 0.001           
32              , 3.25652e-05     , 0.001           
33              , -8.31057e-05    , 0.001           
34              , -7.39777e-06    , 0.001           
35              , 0.000247317     , 0.001           
36              , 0.000571854     , 0.001           
37              , 0.000755889     , 0.001           
