"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.0409856      , 0.001           
1               , -0.01586        , 0.001           
2               , -0.00308162     , 0.001           
3               , 0.00290883      , 0.001           
4               , 0.00521241      , 0.001           
5               , 0.00560748      , 0.001           
6               , 0.00510685      , 0.001           
7               , 0.0042662       , 0.001           
8               , 0.00337073      , 0.001           
9               , 0.00255276      , 0.001           
10              , 0.00186598      , 0.001           
11              , 0.0013308       , 0.001           
12              , 0.000959334     , 0.001           
13              , 0.00076529      , 0.001           
14              , 0.000762015     , 0.001           
15              , 0.000952217     , 0.001           
16              , 0.00131299      , 0.001           
17              , 0.00178755      , 0.001           
18              , 0.00249563      , 0.001           
19              , -0.0357293      , 0.001           
20              , -0.016454       , 0.001           
21              , -0.00546945     , 0.001           
22              , 0.000290355     , 0.001           
23              , 0.00291564      , 0.001           
24              , 0.00375061      , 0.001           
25              , 0.00363541      , 0.001           
26              , 0.00307496      , 0.001           
27              , 0.00235653      , 0.001           
28              , 0.00163201      , 0.001           
29              , 0.000974732     , 0.001           
30              , 0.000417271     , 0.001           
31              , -2.48205e-05    , 0.001           
32              , -0.000340399    , 0.001           
33              , -0.000519293    , 0.001           
34              , -0.000557273    , 0.001           
35              , -0.0004735      , 0.001           
36              , -0.000363157    , 0.001           
37              , -0.000449351    , 0.001           
