"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,   "rms[A_RhoW]"  ,    "rms[A_E]"    
          0,           0,           0,      -5.484302796,      -4.617197247,      -5.044636584,                 0,      -3.964927748
          0,           0,           1,      -4.483778952,      -3.831175234,      -3.786906162,                 0,      -4.132606036
          0,           0,           2,      -4.437744094,      -3.807933246,       -3.83946874,                 0,      -4.205282637
          0,           0,           3,       -4.52860834,      -3.906321716,      -3.919646288,                 0,      -4.295260004
          0,           0,           4,      -4.640570318,      -4.010458412,      -4.033101517,                 0,      -4.361084915
          0,           0,           5,      -4.660176415,      -4.035474245,      -4.065260825,                 0,      -4.393824652
          0,           0,           6,      -4.810965301,      -4.177752134,      -4.184666823,                 0,      -4.549982044
          0,           0,           7,       -4.84926548,      -4.220373453,      -4.206319029,                 0,      -4.554937512
          0,           0,           8,      -4.905091329,      -4.271066629,      -4.283880421,                 0,      -4.698908822
          0,           0,           9,      -4.993282628,      -4.338546237,      -4.375946674,                 0,      -4.721662773
          0,           0,          10,      -5.007366625,      -4.343064421,      -4.395730367,                 0,      -4.780145309
          0,           0,          11,      -5.070919785,      -4.415198325,      -4.477739117,                 0,      -4.886825219
          0,           0,          12,      -5.084325461,      -4.448296668,      -4.518546167,                 0,      -4.900262453
          0,           0,          13,      -5.130066062,      -4.486053463,      -4.576093092,                 0,      -5.026196241
          0,           0,          14,      -5.206875326,      -4.548007907,      -4.648748453,                 0,      -5.098082887
          0,           0,          15,      -5.223766052,      -4.571146482,      -4.683832879,                 0,      -5.202691087
          0,           0,          16,      -5.235642485,      -4.594557677,       -4.73963467,                 0,      -5.265935559
          0,           0,          17,       -5.25725498,      -4.620775443,      -4.780250324,                 0,      -5.329503428
          0,           0,          18,      -5.275606233,       -4.64276245,      -4.800088039,                 0,      -5.380856513
          0,           0,          19,      -5.291063904,      -4.662118616,      -4.818628838,                 0,      -5.411977474
          0,           0,          20,      -5.301495089,       -4.67246414,      -4.834477151,                 0,       -5.42618481
          0,           0,          21,      -5.312310528,       -4.68075006,       -4.85050922,                 0,      -5.429397169
          0,           0,          22,      -5.325023586,      -4.690991708,      -4.866347919,                 0,      -5.438272204
          0,           0,          23,      -5.340658374,      -4.702499284,      -4.886017237,                 0,      -5.455994832
          0,           0,          24,      -5.357890182,        -4.7135215,      -4.907877395,                 0,      -5.472137553
          0,           0,          25,      -5.375876627,      -4.725420759,      -4.930115813,                 0,      -5.492375182
          0,           0,          26,      -5.394641151,      -4.739044215,      -4.952831487,                 0,      -5.516558931
          0,           0,          27,      -5.414465613,      -4.753168813,       -4.97732366,                 0,      -5.543553155
          0,           0,          28,       -5.43636868,      -4.767858468,      -5.005115904,                 0,      -5.571848169
