"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -4.493769302,      -4.763795278,      -4.468553267,      -3.948833536,        1.37139642,     -0.5392590008,                 0,                 0,                 0,     -0.1127584605,       1.366638338,      -0.551206007,                 0,     -0.3932189066
          0,           0,           1,      -4.619563192,      -4.753742848,      -4.595961995,      -4.068651413,     -0.1388328219,     0.07876692909,                 0,                 0,                 0,    -0.01963397512,     -0.1381401732,     0.07997545943,                 0,     -0.5673509188
          0,           0,           2,       -4.73101905,      -4.744857501,       -4.75101035,      -4.182359165,     -0.2495814828,      0.1589703022,                 0,                 0,                 0,     0.06754490938,     -0.2481847195,      0.1611422307,                 0,     -0.6369475027
          0,           0,           3,       -4.70650521,      -4.724221752,      -4.754661684,      -4.151853169,     0.06237744691,     0.01558685992,                 0,                 0,                 0,     0.02893731663,     0.06251109106,     0.01504192741,                 0,      0.2498797352
          0,           0,           4,      -4.652467146,      -4.791541063,      -4.800817696,      -4.105458773,      0.1841358436,     -0.1503923143,                 0,                 0,                 0,     -0.0522096255,      0.1828164284,     -0.1519934558,                 0,     -0.8167465465
          0,           0,           5,       -4.79436656,       -4.75741101,      -4.790643086,      -4.242731201,     0.02977728002,     -0.0778597547,                 0,                 0,                 0,    -0.01157908007,     0.02909670028,    -0.07811664253,                 0,      -2.614736962
          0,           0,           6,      -4.754902183,      -4.887982819,      -4.894265641,      -4.207467597,    -0.08801131342,     0.04514911899,                 0,                 0,                 0,     0.03701041114,    -0.08761396682,      0.0459154337,                 0,     -0.5129922192
          0,           0,           7,      -4.968397126,      -4.957952963,      -4.974453148,      -4.417520157,    -0.01476889294,     0.01538420196,                 0,                 0,                 0,    0.005997655599,     -0.0146340798,     0.01551249745,                 0,      -1.041662501
          0,           0,           8,      -4.949350275,       -5.09130647,      -5.108159593,       -4.40190776,     0.08047009481,    -0.05634397085,                 0,                 0,                 0,    -0.01606837577,      0.0799753431,    -0.05704405059,                 0,     -0.7001852177
          0,           0,           9,       -5.16348261,       -5.18502431,      -5.224146746,      -4.613717288,     0.03027981296,     -0.0568245844,                 0,                 0,                 0,   0.0009527437198,     0.02978277825,    -0.05708665855,                 0,      -1.876649122
          0,           0,          10,         -5.208287,      -5.308510159,      -5.318743416,       -4.65967251,    -0.05003112837,    -0.02262168424,                 0,                 0,                 0,    0.006173199331,    -0.05022663227,    -0.02218422446,                 0,      0.4521521895
          0,           0,          11,      -5.311637698,      -5.404834304,      -5.407193527,      -4.762851371,    -0.01691353166,    -0.01252296914,                 0,                 0,                 0,  -0.0001768565076,    -0.01702216977,    -0.01237489577,                 0,      0.7404112514
          0,           0,          12,      -5.440274633,      -5.499541814,      -5.471580102,      -4.892435157,      0.0416519482,    -0.02883721202,                 0,                 0,                 0,    0.001501853551,     0.04139871326,    -0.02919959119,                 0,      -0.692337652
          0,           0,          13,      -5.460313208,       -5.52187121,      -5.575093431,      -4.910476128,     0.01666971103,    -0.04499225081,                 0,                 0,                 0,   0.0005287541827,     0.01627644982,    -0.04513600646,                 0,      -2.699042036
          0,           0,          14,      -5.619177024,      -5.628904871,      -5.686751696,      -5.072041934,    -0.02762718306,    -0.04266619728,                 0,                 0,                 0,   -0.003367851905,    -0.02799845918,    -0.04242348309,                 0,       1.544355687
          0,           0,          15,      -5.643596562,      -5.660164796,      -5.662113048,      -5.092302149,    -0.01002241539,    -0.03176155687,                 0,                 0,                 0,  -0.0003653699689,    -0.01029920212,    -0.03167288652,                 0,       3.169052134
          0,           0,          16,      -5.732254032,      -5.774599815,      -5.751594779,      -5.187218959,     0.02291857623,    -0.02997593806,                 0,                 0,                 0,    0.002857338707,     0.02265611748,    -0.03017479644,                 0,      -1.307931948
          0,           0,          17,      -5.861078148,      -5.752470344,      -5.809177258,      -5.308928609,      0.0103049372,    -0.03872457802,                 0,                 0,                 0,  -0.0004495526283,    0.009966613418,     -0.0388130299,                 0,      -3.757866472
          0,           0,          18,      -5.871768359,      -5.846836395,      -5.938989101,      -5.326342648,    -0.01422147465,    -0.04621929742,                 0,                 0,                 0,   -0.003399741829,    -0.01462426748,    -0.04609343333,                 0,        3.24996518
          0,           0,          19,      -6.037548274,      -5.838411276,      -5.877107705,      -5.486267456,   -0.006233136453,    -0.04420869865,                 0,                 0,                 0,   -0.001544612672,   -0.006618687892,    -0.04415262163,                 0,       7.092528615
          0,           0,          20,      -5.984234842,      -5.898771756,      -5.928079768,      -5.439622377,     0.01086328288,    -0.03768640369,                 0,                 0,                 0,   0.0006946406899,      0.0105339975,    -0.03777976753,                 0,      -3.469154224
          0,           0,          21,      -6.188195471,      -5.887329077,      -5.957814814,      -5.639046347,    0.005578366766,    -0.03788604182,                 0,                 0,                 0,   5.167284998e-05,     0.00524754047,    -0.03793327906,                 0,      -6.791601093
          0,           0,          22,      -6.085931233,      -5.917422116,       -6.00916045,      -5.541406957,   -0.006212940305,    -0.04537381306,                 0,                 0,                 0,   -0.001763583246,   -0.006608659925,    -0.04531786792,                 0,       7.303114281
          0,           0,          23,      -6.281733555,      -5.912791923,      -5.988301915,      -5.736173973,   -0.003241858783,    -0.04895600191,                 0,                 0,                 0,   -0.002170863717,   -0.003668951631,    -0.04892584762,                 0,       15.10121359
          0,           0,          24,      -6.178524462,      -5.934938871,      -5.998661101,      -5.633820171,    0.004538357625,    -0.04431754455,                 0,                 0,                 0,   -0.000736808505,    0.004151446193,    -0.04435546121,                 0,      -9.765106279
          0,           0,          25,      -6.338999825,      -5.942355668,      -6.014169615,      -5.795865654,    0.002744084279,    -0.04073345963,                 0,                 0,                 0,   0.0003173849685,    0.002388517811,    -0.04075585497,                 0,      -14.84409934
          0,           0,          26,       -6.29657586,      -5.947937092,      -6.032181416,      -5.753494956,    -0.00262645028,    -0.04442155856,                 0,                 0,                 0,  -0.0005805999159,    -0.00301399658,    -0.04439694731,                 0,       16.91315419
          0,           0,          27,      -6.367758276,       -5.94695512,      -6.041499839,        -5.8281708,   -0.001810676673,    -0.04904538007,                 0,                 0,                 0,   -0.001718002615,   -0.002238603978,    -0.04902771164,                 0,       27.08676862
          0,           0,          28,      -6.433014488,      -5.960113156,      -6.043546184,      -5.892171959,    0.001891092847,    -0.04799215142,                 0,                 0,                 0,   -0.001101744493,    0.001472215627,    -0.04800682672,                 0,      -25.37799849
          0,           0,          29,       -6.43532987,      -5.973148483,      -6.046591792,      -5.894231027,    0.001600087085,    -0.04453050721,                 0,                 0,                 0,   0.0001093611869,    0.001211429106,    -0.04454277484,                 0,      -27.83005227
          0,           0,          30,      -6.499953887,      -5.978065494,      -6.057223367,      -5.963293417,   -0.001099207437,    -0.04467973636,                 0,                 0,                 0,   6.947853323e-05,   -0.001489064888,    -0.04466844282,                 0,       40.64722894
          0,           0,          31,      -6.498778257,      -5.975675503,       -6.06887267,      -5.962949703,    -0.00128807995,    -0.04761299879,                 0,                 0,                 0,  -0.0007138393276,   -0.001703527428,    -0.04759994536,                 0,       36.96431947
          0,           0,          32,      -6.539828577,      -5.982786751,      -6.077148526,      -6.005970119,   0.0006019068347,    -0.04899068341,                 0,                 0,                 0,  -0.0008490353787,   0.0001743649781,    -0.04899407056,                 0,      -81.39246904
          0,           0,          33,      -6.577074106,      -5.994077319,      -6.080126073,      -6.042896599,    0.001153504523,    -0.04765740518,                 0,                 0,                 0,  -0.0002216670622,   0.0007375765629,    -0.04766565663,                 0,      -41.31531714
          0,           0,          34,      -6.571159209,      -6.002793133,      -6.086693646,      -6.036589836,  -0.0001292057568,    -0.04632548863,                 0,                 0,                 0,   0.0002094132903,   -0.000533461858,    -0.04632259718,                 0,       358.5404379
          0,           0,          35,      -6.589430592,      -6.005141729,      -6.095564617,      -6.057458307,  -0.0008978626055,    -0.04696348079,                 0,                 0,                 0,    4.05589107e-05,     -0.0013076569,    -0.04695385733,                 0,       52.30586561
          0,           0,          36,      -6.594754926,      -6.008888627,      -6.102194286,      -6.063199972,  -0.0002360801875,    -0.04842039862,                 0,                 0,                 0,  -0.0002604478052,  -0.0006586135257,    -0.04841649475,                 0,       205.1014917
          0,           0,          37,      -6.608612262,      -6.016773665,      -6.107323428,      -6.078638862,   0.0005497145043,    -0.04893261904,                 0,                 0,                 0,  -0.0002363032234,   0.0001226813358,    -0.04893555294,                 0,      -89.01460422
          0,           0,          38,      -6.621421774,      -6.025293316,      -6.112093052,      -6.092232091,   0.0003319604475,    -0.04834260657,                 0,                 0,                 0,   4.192698728e-05,  -8.991566489e-05,     -0.0483436627,                 0,        -145.62761
          0,           0,          39,      -6.626524191,      -6.032900079,      -6.118567503,      -6.097694644,  -0.0003557027109,     -0.0478970833,                 0,                 0,                 0,   0.0002104706472,  -0.0007736647644,    -0.04789215547,                 0,       134.6548166
          0,           0,          40,      -6.634953439,      -6.039042795,       -6.12378942,      -6.106740177,  -0.0004846014948,    -0.04829939404,                 0,                 0,                 0,   0.0001436418069,  -0.0009060694192,    -0.04829332605,                 0,       99.66827292
          0,           0,          41,      -6.642347016,      -6.046595551,      -6.128320029,       -6.11509669,  -7.349739513e-05,    -0.04903407701,                 0,                 0,                 0,   1.100710441e-05,  -0.0005013922102,    -0.04903156857,                 0,       667.1539437
          0,           0,          42,      -6.656239778,      -6.055232305,      -6.133472492,      -6.130765157,   0.0001585483294,    -0.04933984808,                 0,                 0,                 0,   1.159659812e-05,  -0.0002720236434,    -0.04933935295,                 0,      -311.1975274
          0,           0,          43,      -6.669707011,       -6.06429174,      -6.139925922,      -6.145335895,  -7.596523105e-05,    -0.04918091399,                 0,                 0,                 0,   0.0001250133126,  -0.0005051413303,    -0.04917837842,                 0,       647.4134721
          0,           0,          44,      -6.679793431,      -6.073264649,      -6.146942811,      -6.155735902,  -0.0003668622191,    -0.04907317466,                 0,                 0,                 0,    0.000200636339,  -0.0007950870508,    -0.04906810467,                 0,       133.7645909
          0,           0,          45,      -6.692268331,      -6.082349037,      -6.153851709,      -6.168944722,  -0.0003463874631,    -0.04931095534,                 0,                 0,                 0,   0.0001708900639,   -0.000776688076,    -0.04930605497,                 0,       142.3577946
          0,           0,          46,      -6.703954748,      -6.092143362,      -6.161548677,      -6.181601019,  -0.0001608883421,    -0.04968730089,                 0,                 0,                 0,   0.0001122389684,   -0.000594480211,    -0.04968400495,                 0,       308.8309583
          0,           0,          47,      -6.719058192,      -6.102356489,      -6.170385619,      -6.197907429,  -0.0001318366032,    -0.04988218475,                 0,                 0,                 0,   0.0001141073059,  -0.0005671302392,    -0.04987913491,                 0,       378.3636981
          0,           0,          48,      -6.734948347,      -6.112841613,      -6.180402561,       -6.21435977,    -0.00028273511,    -0.04988003922,                 0,                 0,                 0,   0.0001626452929,  -0.0007180042773,    -0.04987567265,                 0,       176.4196856
          0,           0,          49,      -6.746565996,      -6.123126201,      -6.191183741,      -6.225777978,  -0.0003883560962,    -0.04987244211,                 0,                 0,                 0,   0.0002020680366,  -0.0008235549452,    -0.04986715411,                 0,        128.419362
          0,           0,          50,      -6.757811207,      -6.133317969,      -6.202525818,      -6.237317576,  -0.0003419612516,    -0.04999034307,                 0,                 0,                 0,   0.0002021212074,  -0.0007781907341,    -0.04998545545,                 0,       146.1871567
          0,           0,          51,      -6.769673066,      -6.143791056,       -6.21440224,      -6.249831838,  -0.0002637562505,    -0.05017244418,                 0,                 0,                 0,    0.000189256733,  -0.0007015778226,    -0.05016823209,                 0,       190.2227685
