"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 9.997500181200000e-01, -3.632896574592246e-05, 1.004804513279800e+00, 6.992328230008495e-02, 8.595289135063036e-03, 2.517741608341367e+00, 1.006108760750962e+00, 1.001298011159310e+00, 5.921765205463752e-02, 8.726801072802235e-01
1, 9.990000128750000e-01, -1.452537854904942e-04, 1.002461643770657e+00, 8.331579920009535e-02, 1.161425427978213e-02, 2.512175521469576e+00, 1.003458401294693e+00, 1.000994309887296e+00, 7.088576133333810e-02, 4.940573278133482e-01
2, 9.977599978450000e-01, -3.251115477089107e-04, 1.002108529788053e+00, 9.106642784992625e-02, 1.300123340791427e-02, 2.511488868637578e+00, 1.002906683205315e+00, 1.000796474028048e+00, 7.755112332010786e-02, 4.152404579020887e-01
3, 9.960200190539999e-01, -5.770004367593505e-04, 1.001671200715568e+00, 9.499251118886892e-02, 1.366827458463566e-02, 2.510500603654976e+00, 1.002361235028440e+00, 1.000688883051025e+00, 8.094694771095186e-02, 3.373192897771574e-01
4, 9.937800168990000e-01, -9.004440382215399e-04, 1.001456994486545e+00, 9.758240658212639e-02, 1.403922458106528e-02, 2.510036910268374e+00, 1.002073707036560e+00, 1.000615815310503e+00, 8.317451998361612e-02, 2.962438623657401e-01
5, 9.910500049590000e-01, -1.293384536708934e-03, 1.001293464597422e+00, 9.962724176054390e-02, 1.429815180146046e-02, 2.509686075396055e+00, 1.001851042449640e+00, 1.000556857576657e+00, 8.492957696743240e-02, 2.644346356628359e-01
6, 9.878399968150000e-01, -1.753656705922616e-03, 1.001166470312554e+00, 1.013695632301106e-01, 1.449446121078441e-02, 2.509418914970460e+00, 1.001672833879950e+00, 1.000505773597510e+00, 8.642159579324829e-02, 2.389762685642997e-01
7, 9.841300249100000e-01, -2.283268701030909e-03, 1.001058100551479e+00, 1.029146152299271e-01, 1.464812468120135e-02, 2.509193292031560e+00, 1.001518404042497e+00, 1.000459816958440e+00, 8.774231016746337e-02, 2.169148632138146e-01
8, 9.799500107769999e-01, -2.876984522277481e-03, 1.000956706636179e+00, 1.042842168405001e-01, 1.476719185745979e-02, 2.508980457575938e+00, 1.001375650034723e+00, 1.000418542975702e+00, 8.891183455683055e-02, 1.965214335318346e-01
9, 9.752799868580000e-01, -3.536570198488602e-03, 1.000865218148437e+00, 1.055250584854224e-01, 1.485560646058564e-02, 2.508788956756774e+00, 1.001246300724328e+00, 1.000380753141364e+00, 8.996938548785938e-02, 1.780429606183124e-01
10, 9.701499938960000e-01, -4.256616907963382e-03, 1.000779945733334e+00, 1.066654373687957e-01, 1.491908822154734e-02, 2.508610298571229e+00, 1.001125908562678e+00, 1.000345693207401e+00, 9.093961316193072e-02, 1.608440803825115e-01
11, 9.645400047300000e-01, -5.038681439052033e-03, 1.000699794040385e+00, 1.077247130842874e-01, 1.496111795941767e-02, 2.508442250417533e+00, 1.001012864732983e+00, 1.000312851760801e+00, 9.183921137177292e-02, 1.446949618547792e-01
12, 9.584699869160000e-01, -5.878634942388199e-03, 1.000624453713600e+00, 1.087180625287372e-01, 1.498380487829044e-02, 2.508284442646039e+00, 1.000906454014504e+00, 1.000281824314664e+00, 9.268115258550352e-02, 1.294934306433746e-01
13, 9.519400000570000e-01, -6.775073126744369e-03, 1.000552477450062e+00, 1.096531622437014e-01, 1.498920292610299e-02, 2.508133444083727e+00, 1.000805031850445e+00, 1.000252414946816e+00, 9.347223369512767e-02, 1.150045500635244e-01
14, 9.449599981310000e-01, -7.725178875240819e-03, 1.000484069203516e+00, 1.105396145273370e-01, 1.497872581607083e-02, 2.507990027044238e+00, 1.000708541203745e+00, 1.000224363392821e+00, 9.422064505225189e-02, 1.012201719635199e-01
15, 9.375399947170000e-01, -8.726109652340726e-03, 1.000418655219397e+00, 1.113829720945235e-01, 1.495375988966328e-02, 2.507852900460871e+00, 1.000616260965095e+00, 1.000197523051642e+00, 9.493125672093965e-02, 8.803728072786275e-02
16, 9.296900033950000e-01, -9.775014200641672e-03, 1.000355601191574e+00, 1.121885797908619e-01, 1.491552801514181e-02, 2.507720621738692e+00, 1.000527409250742e+00, 1.000171746985736e+00, 9.560875531991145e-02, 7.534417867747860e-02
17, 9.214000105860000e-01, -1.087167491609583e-02, 1.000294732929118e+00, 1.129597107936140e-01, 1.486496940434563e-02, 2.507592838409412e+00, 1.000441727600303e+00, 1.000146951359781e+00, 9.625601662863031e-02, 6.310394290046495e-02
