"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -4.494821045,      -4.763928175,      -4.469843208,      -3.949885279,       1.367903971,    -0.08250170958,                 0,                 0,                 0,    0.006758431415,       1.367903971,    -0.08250170958,                 0,    -0.06031250098
          0,           0,           1,      -4.620619848,       -4.75421933,      -4.597687515,      -4.069709862,     -0.1390219963,      0.1596166903,                 0,                 0,                 0,   -0.009760401154,     -0.1390219963,      0.1596166903,                 0,      -1.148139823
          0,           0,           2,      -4.732217105,      -4.747654922,      -4.752758894,      -4.183548387,     -0.2488400189,     0.03922809953,                 0,                 0,                 0,     0.01737235822,     -0.2488400189,     0.03922809953,                 0,     -0.1576438537
          0,           0,           3,      -4.707309309,      -4.725807729,      -4.755634368,      -4.152669377,     0.06253307336,      -0.079834529,                 0,                 0,                 0,  -0.0007398857851,     0.06253307336,      -0.079834529,                 0,       -1.27667688
          0,           0,           4,      -4.653758538,       -4.79236848,      -4.801026223,      -4.106705317,       0.183441248,    -0.05926328174,                 0,                 0,                 0,    -0.02575542087,       0.183441248,    -0.05926328174,                 0,     -0.3230641003
          0,           0,           5,      -4.793985619,      -4.758805865,      -4.790630506,      -4.242396425,     0.02945761307,      0.0553052769,                 0,                 0,                 0,     0.01455543625,     0.02945761307,      0.0553052769,                 0,       1.877452758
          0,           0,           6,      -4.756541184,        -4.8875879,      -4.894939927,      -4.209048204,    -0.08779494265,     0.05317820254,                 0,                 0,                 0,     0.02502394213,    -0.08779494265,     0.05317820254,                 0,      -0.605709178
          0,           0,           7,      -4.968116685,      -4.958829495,      -4.975080694,      -4.417225514,    -0.01479003458,    -0.04051937655,                 0,                 0,                 0,    -0.01575867881,    -0.01479003458,    -0.04051937655,                 0,        2.73964042
          0,           0,           8,      -4.950628168,      -5.091606241,       -5.10994473,      -4.403148228,     0.08023848691,    -0.04081406729,                 0,                 0,                 0,    -0.01550428168,     0.08023848691,    -0.04081406729,                 0,     -0.5086594832
          0,           0,           9,       -5.16520095,      -5.185969432,      -5.225550883,      -4.615366418,     0.03023935827,      0.0291112036,                 0,                 0,                 0,     0.01601842292,     0.03023935827,      0.0291112036,                 0,      0.9626925061
          0,           0,          10,      -5.209668369,      -5.311409667,      -5.323092773,      -4.661055364,    -0.05012008739,     0.03417136708,                 0,                 0,                 0,     0.01070813665,    -0.05012008739,     0.03417136708,                 0,     -0.6817898543
          0,           0,          11,      -5.316261043,      -5.405792953,      -5.409129722,      -4.767318867,    -0.01712579718,    -0.01387477302,                 0,                 0,                 0,   -0.009726339338,    -0.01712579718,    -0.01387477302,                 0,      0.8101680102
          0,           0,          12,      -5.439823731,      -5.504697251,      -5.477657646,      -4.892023815,     0.04155324392,    -0.02250128969,                 0,                 0,                 0,   -0.004376712185,     0.04155324392,    -0.02250128969,                 0,     -0.5415050083
          0,           0,          13,      -5.465025567,      -5.523966907,      -5.579699496,      -4.915053034,     0.01668153259,    0.007687973941,                 0,                 0,                 0,    0.006620359313,     0.01668153259,    0.007687973941,                 0,      0.4608673632
          0,           0,          14,      -5.618787303,      -5.636255302,      -5.693759558,       -5.07173595,    -0.02776002472,     0.01875151347,                 0,                 0,                 0,    0.003477472623,    -0.02776002472,     0.01875151347,                 0,     -0.6754861949
          0,           0,          15,      -5.648962109,      -5.663323238,      -5.666435478,      -5.097525238,    -0.01026893585,    0.000663758306,                 0,                 0,                 0,   -0.001974810939,    -0.01026893585,    0.000663758306,                 0,    -0.06463749658
          0,           0,          16,      -5.731098353,      -5.779758673,      -5.757238909,      -5.185980888,     0.02279475888,    -0.01082200902,                 0,                 0,                 0,   -0.001578644147,     0.02279475888,    -0.01082200902,                 0,     -0.4747586528
          0,           0,          17,      -5.864160007,      -5.758122609,      -5.818781159,      -5.311956501,     0.01029807156,   -0.001146719988,                 0,                 0,                 0,   0.0005041044724,     0.01029807156,   -0.001146719988,                 0,      -0.111352886
          0,           0,          18,      -5.872923118,       -5.85942218,      -5.947339799,      -5.327430399,    -0.01433733013,    0.008099059966,                 0,                 0,                 0,     0.00122447826,    -0.01433733013,    0.008099059966,                 0,     -0.5648931769
          0,           0,          19,      -6.040148481,      -5.848732112,      -5.882822015,      -5.488846526,   -0.006445827485,    0.002780554723,                 0,                 0,                 0,   0.0002926197654,   -0.006445827485,    0.002780554723,                 0,     -0.4313728112
          0,           0,          20,      -5.981825115,      -5.908682717,      -5.934200417,      -5.437102513,     0.01071472556,   -0.004149536552,                 0,                 0,                 0,   -0.001014332943,     0.01071472556,   -0.004149536552,                 0,     -0.3872741796
          0,           0,          21,      -6.193380088,      -5.897901621,      -5.967794102,      -5.643988219,     0.00550700923,   -0.001786942643,                 0,                 0,                 0,  -0.0007016749498,     0.00550700923,   -0.001786942643,                 0,     -0.3244851367
          0,           0,          22,      -6.087361417,      -5.932792584,      -6.019925708,      -5.542754936,   -0.006322853579,     0.00219658847,                 0,                 0,                 0,   0.0003065642402,   -0.006322853579,     0.00219658847,                 0,     -0.3474046082
          0,           0,          23,      -6.286843064,      -5.926426605,      -5.996474894,      -5.740927591,    -0.00339803364,   0.0007879944561,                 0,                 0,                 0,  -1.412111219e-05,    -0.00339803364,   0.0007879944561,                 0,      -0.231897191
          0,           0,          24,      -6.178565648,      -5.947532254,      -6.006751021,      -5.633530198,    0.004399273842,   -0.001429445654,                 0,                 0,                 0,  -0.0006825682665,    0.004399273842,   -0.001429445654,                 0,     -0.3249276371
          0,           0,          25,      -6.346234215,      -5.955633894,       -6.02319402,      -5.802557737,    0.002654401647,   -0.000677059095,                 0,                 0,                 0,  -0.0003820288359,    0.002654401647,   -0.000677059095,                 0,     -0.2550703266
          0,           0,          26,      -6.304615685,       -5.96304032,      -6.042469105,      -5.761360603,   -0.002725701239,   0.0004715849819,                 0,                 0,                 0,  -1.558639947e-05,   -0.002725701239,   0.0004715849819,                 0,     -0.1730141863
          0,           0,          27,      -6.372627674,      -5.960944203,      -6.053026858,      -5.832683433,   -0.001936327116,  -5.095411293e-05,                 0,                 0,                 0,  -0.0002714119493,   -0.001936327116,  -5.095411293e-05,                 0,     0.02631482692
          0,           0,          28,      -6.443987445,      -5.972397599,      -6.054677192,      -5.902455499,    0.001767137497,  -0.0005230296829,                 0,                 0,                 0,  -0.0003619137864,    0.001767137497,  -0.0005230296829,                 0,     -0.2959756576
          0,           0,          29,      -6.446044107,      -5.985353128,      -6.056627382,      -5.904224992,    0.001507555009,  -1.980552372e-05,                 0,                 0,                 0,  -8.699236583e-05,    0.001507555009,  -1.980552372e-05,                 0,    -0.01313751313
          0,           0,          30,      -6.514600132,      -5.991308615,      -6.067119879,      -5.977560418,   -0.001182266275,   0.0004226365556,                 0,                 0,                 0,   1.616329777e-05,   -0.001182266275,   0.0004226365556,                 0,     -0.3574800065
          0,           0,          31,      -6.507833726,       -5.98900442,      -6.079869333,      -5.971372616,   -0.001391728088,   0.0002276604849,                 0,                 0,                 0,  -0.0001008526296,   -0.001391728088,   0.0002276604849,                 0,     -0.1635811528
          0,           0,          32,      -6.550438667,       -5.99545923,      -6.088969058,      -6.015893408,   0.0004927565726,   3.829560598e-05,                 0,                 0,                 0,  -9.944008105e-05,   0.0004927565726,   3.829560598e-05,                 0,     0.07771708813
          0,           0,          33,      -6.591017744,      -6.006180233,      -6.091369081,      -6.056300057,    0.001061662592,   0.0003446090876,                 0,                 0,                 0,   6.752294436e-05,    0.001061662592,   0.0003446090876,                 0,      0.3245937931
          0,           0,          34,      -6.581677073,      -6.015152237,      -6.097477867,      -6.046400189,  -0.0001980878991,   0.0006406503267,                 0,                 0,                 0,   0.0001404649111,  -0.0001980878991,   0.0006406503267,                 0,      -3.234171948
          0,           0,          35,      -6.598189748,      -6.018220485,      -6.106431647,      -6.065167668,  -0.0009758476722,   0.0005905429338,                 0,                 0,                 0,    9.48734684e-05,  -0.0009758476722,   0.0005905429338,                 0,     -0.6051589307
          0,           0,          36,      -6.602354262,       -6.02245593,      -6.113505942,      -6.069520192,  -0.0003298087852,    0.000465004366,                 0,                 0,                 0,   8.351491465e-05,  -0.0003298087852,    0.000465004366,                 0,      -1.409921102
          0,           0,          37,      -6.616571618,      -6.030576978,      -6.118990604,      -6.085504659,   0.0004634687644,   0.0005454952026,                 0,                 0,                 0,   0.0001424144723,   0.0004634687644,   0.0005454952026,                 0,       1.176983746
          0,           0,          38,       -6.62924617,      -6.039235022,      -6.123957503,      -6.099090158,   0.0002662357829,   0.0007326808331,                 0,                 0,                 0,   0.0001923142991,   0.0002662357829,   0.0007326808331,                 0,       2.751999844
          0,           0,          39,      -6.633404659,      -6.047241626,      -6.130669868,      -6.103435885,  -0.0004143852855,   0.0007371649633,                 0,                 0,                 0,   0.0001749353211,  -0.0004143852855,   0.0007371649633,                 0,      -1.778936148
          0,           0,          40,      -6.641747693,      -6.053896017,      -6.136104686,      -6.112248228,  -0.0005533490536,   0.0005879141924,                 0,                 0,                 0,   0.0001365041868,  -0.0005533490536,   0.0005879141924,                 0,      -1.062465344
          0,           0,          41,      -6.649885683,      -6.061916284,      -6.140880492,      -6.121423695,  -0.0001469733436,   0.0005120227447,                 0,                 0,                 0,   0.0001273355816,  -0.0001469733436,   0.0005120227447,                 0,      -3.483779659
          0,           0,          42,      -6.664774683,      -6.070992809,      -6.146328999,      -6.138308176,   9.475761984e-05,   0.0006014781036,                 0,                 0,                 0,   0.0001501249071,   9.475761984e-05,   0.0006014781036,                 0,       6.347543392
          0,           0,          43,      -6.679679571,      -6.080466774,      -6.153130451,      -6.154497643,  -0.0001294739335,   0.0006648358015,                 0,                 0,                 0,   0.0001536697581,  -0.0001294739335,   0.0006648358015,                 0,      -5.134900774
          0,           0,          44,      -6.691019292,       -6.08986891,       -6.16046379,       -6.16629894,  -0.0004193237632,   0.0005670110091,                 0,                 0,                 0,   0.0001184073279,  -0.0004193237632,   0.0005670110091,                 0,      -1.352203378
          0,           0,          45,      -6.704834218,       -6.09931168,      -6.167663562,      -6.181133651,  -0.0004022440486,   0.0004064170451,                 0,                 0,                 0,   7.369057812e-05,  -0.0004022440486,   0.0004064170451,                 0,       -1.01037429
          0,           0,          46,      -6.717968538,      -6.109448976,      -6.175705845,      -6.195641088,   -0.000215568684,   0.0003549950006,                 0,                 0,                 0,   5.947161911e-05,   -0.000215568684,   0.0003549950006,                 0,      -1.646783726
          0,           0,          47,      -6.734773939,      -6.120056057,      -6.184968589,      -6.214021001,  -0.0001808184075,   0.0004225314518,                 0,                 0,                 0,   7.419818763e-05,  -0.0001808184075,   0.0004225314518,                 0,      -2.336772332
