"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 9.997500181200000e-01, -3.632896574592246e-05, 1.004803875661956e+00, 6.990756279256756e-02, 8.593257579906106e-03, 2.517739710090557e+00, 1.006108445286912e+00, 1.001298332596595e+00, 5.920435717693134e-02, 8.726350409874305e-01
1, 9.990000128750000e-01, -1.452537854904942e-04, 1.002461683560540e+00, 8.328853540542822e-02, 1.161042318066541e-02, 2.512174978443634e+00, 1.003459108114305e+00, 1.000994975239575e+00, 7.086253516071857e-02, 4.941583020435317e-01
2, 9.977599978450000e-01, -3.251115477089107e-04, 1.002109604231759e+00, 9.102706832365479e-02, 1.299559953749562e-02, 2.511490533280545e+00, 1.002908810509324e+00, 1.000797523817944e+00, 7.751747968532351e-02, 4.155443584748271e-01
3, 9.960200190539999e-01, -5.770004367593505e-04, 1.001673304174068e+00, 9.494069046525493e-02, 1.366084843388936e-02, 2.510504453949731e+00, 1.002364784737186e+00, 1.000690325438681e+00, 8.090256461678803e-02, 3.378263910265935e-01
4, 9.937800168990000e-01, -9.004440382215399e-04, 1.001460248680811e+00, 9.751723562974046e-02, 1.402987095513398e-02, 2.510043222714087e+00, 1.002078830013161e+00, 1.000617679366870e+00, 8.311862661523987e-02, 2.969757161658736e-01
5, 9.910500049590000e-01, -1.293384536708934e-03, 1.001297837087382e+00, 9.954798937956630e-02, 1.428677473609267e-02, 2.509694740030820e+00, 1.001857735027802e+00, 1.000559172225967e+00, 8.486154731834657e-02, 2.653907182573587e-01
6, 9.878399968150000e-01, -1.753656705922616e-03, 1.001172038227747e+00, 1.012760279017498e-01, 1.448105610009447e-02, 2.509430110417751e+00, 1.001681187768062e+00, 1.000508553496177e+00, 8.634124938076468e-02, 2.401696811517822e-01
7, 9.841300249100000e-01, -2.283268701030909e-03, 1.001064832660806e+00, 1.028064013096054e-01, 1.463269875821425e-02, 2.509206920272202e+00, 1.001528407737531e+00, 1.000463081971917e+00, 8.764931454501776e-02, 2.183439625044351e-01
8, 9.799500107769999e-01, -2.876984522277481e-03, 1.000964705353821e+00, 1.041612253183958e-01, 1.474973516491284e-02, 2.508996765081118e+00, 1.001387416166167e+00, 1.000422303413982e+00, 8.880609168371471e-02, 1.982023094524444e-01
9, 9.752799868580000e-01, -3.536570198488602e-03, 1.000874482768923e+00, 1.053869740293160e-01, 1.483612992934911e-02, 2.508807925825642e+00, 1.001259844560376e+00, 1.000385025093642e+00, 8.985062840766890e-02, 1.799777943393620e-01
10, 9.701499938960000e-01, -4.256616907963382e-03, 1.000790528524856e+00, 1.065119828545478e-01, 1.489758338908502e-02, 2.508632045268123e+00, 1.001141297333868e+00, 1.000350491735297e+00, 9.080759975170867e-02, 1.630424762668297e-01
11, 9.645400047300000e-01, -5.038681439052033e-03, 1.000711726995633e+00, 1.075555818582159e-01, 1.493758481326514e-02, 2.508466839358823e+00, 1.001030146066237e+00, 1.000318192604338e+00, 9.169367761246044e-02, 1.471637237481703e-01
12, 9.584699869160000e-01, -5.878634942388199e-03, 1.000637770849666e+00, 1.085329623514152e-01, 1.495824925072722e-02, 2.508311943943942e+00, 1.000925677026490e+00, 1.000287722675689e+00, 9.252184708523922e-02, 1.322395752128003e-01
13, 9.519400000570000e-01, -6.775073126744369e-03, 1.000567223197147e+00, 1.094518009828309e-01, 1.496162840541884e-02, 2.508163954211601e+00, 1.000826255914217e+00, 1.000258885870999e+00, 9.329890381817633e-02, 1.180365591738778e-01
14, 9.449599981310000e-01, -7.725178875240819e-03, 1.000500271267710e+00, 1.103217129682806e-01, 1.494914998314610e-02, 2.508023601062620e+00, 1.000731808425654e+00, 1.000231421384475e+00, 9.403305219310530e-02, 1.045440608077795e-01
15, 9.375399947170000e-01, -8.726109652340726e-03, 1.000436346932384e+00, 1.111482417128730e-01, 1.492219956590798e-02, 2.507889607366094e+00, 1.000641619285070e+00, 1.000205182821791e+00, 9.472915378216176e-02, 9.165989786711191e-02
16, 9.296900033950000e-01, -9.775014200641672e-03, 1.000374825621419e+00, 1.119367466509188e-01, 1.488199834332118e-02, 2.507760555338546e+00, 1.000554915855632e+00, 1.000180022757071e+00, 9.539190617595660e-02, 7.927369366170621e-02
