"EVALUATION"    , "DRAG"          , "EFFICIENCY"    , "FORCE_X"       , "FORCE_Y"       , "FORCE_Z"       , "LIFT"          , "MOMENT_X"      , "MOMENT_Y"      , "MOMENT_Z"      , "SIDEFORCE"     , "Time_Iter"     , "Outer_Iter"    , "Inner_Iter"    , "RMS_DENSITY"   , "RMS_MOMENTUM-X", "RMS_MOMENTUM-Y", "RMS_ENERGY"    
1               , -0.00020424943716694432, 2.9556598892222046, -0.0003804258999644439, 0.0005184996392777777, 0.0             , 0.0005185153053888905, 0.0             , 0.0             , 9.045684728055559e-05, 0.0             , 0.0             , 0.0             , 824.0           , -13.000438200000001, -12.288104550000002, -12.550603189999999, -12.446974669999998
2               , -0.00020410512510055524, 3.6779822840000254, -0.00038028960142055563, 0.00043393997036666554, 0.0             , 0.0004339545928666658, 0.0             , 0.0             , 7.04782120927778e-05, 0.0             , 0.0             , 0.0             , 824.0           , -13.000083770000003, -12.287747790000001, -12.55024025    , -12.446617500000004
