"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.0223225      , 0.001           
1               , -0.0121484      , 0.001           
2               , -0.00440903     , 0.001           
3               , 0.000345243     , 0.001           
4               , 0.0027996       , 0.001           
5               , 0.00372082      , 0.001           
6               , 0.00372287      , 0.001           
7               , 0.00323642      , 0.001           
8               , 0.00253683      , 0.001           
9               , 0.00178684      , 0.001           
10              , 0.00107789      , 0.001           
11              , 0.00046378      , 0.001           
12              , -1.65713e-05    , 0.001           
13              , -0.000328967    , 0.001           
14              , -0.000448043    , 0.001           
15              , -0.000376931    , 0.001           
16              , -0.000189672    , 0.001           
17              , -0.000113482    , 0.001           
18              , -0.00056398     , 0.001           
19              , -0.0318861      , 0.001           
20              , -0.0140842      , 0.001           
21              , -0.00348211     , 0.001           
22              , 0.00210639      , 0.001           
23              , 0.00455553      , 0.001           
24              , 0.00518226      , 0.001           
25              , 0.00484572      , 0.001           
26              , 0.00407156      , 0.001           
27              , 0.003159        , 0.001           
28              , 0.0022647       , 0.001           
29              , 0.00146492      , 0.001           
30              , 0.000799029     , 0.001           
31              , 0.000296847     , 0.001           
32              , -8.21967e-06    , 0.001           
33              , -7.87868e-05    , 0.001           
34              , 0.00011479      , 0.001           
35              , 0.000556228     , 0.001           
36              , 0.00105944      , 0.001           
37              , 0.00124101      , 0.001           
