"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,   "rms[A_RhoW]"  ,    "rms[A_E]"    
          0,           0,           0,      -6.090025921,      -4.920030627,      -5.347703268,                 0,      -3.964927748
          0,           0,           1,      -4.792922172,      -3.840883591,      -3.798221398,                 0,      -4.141823584
          0,           0,           2,      -4.791995501,      -3.863924307,      -3.885032307,                 0,      -4.229719996
          0,           0,           3,      -4.875458798,      -3.949684061,      -3.983864248,                 0,      -4.346421779
          0,           0,           4,      -5.016356229,      -4.087881979,      -4.122727678,                 0,      -4.415113409
          0,           0,           5,      -5.034910873,      -4.108791537,      -4.170776253,                 0,        -4.4911969
          0,           0,           6,      -5.185733537,      -4.261566529,      -4.275332156,                 0,      -4.615547542
          0,           0,           7,      -5.308673298,      -4.389544818,       -4.37338706,                 0,      -4.725949573
          0,           0,           8,      -5.408303039,      -4.487546186,      -4.463934728,                 0,      -4.823489761
          0,           0,           9,      -5.475262393,      -4.542071403,       -4.59024678,                 0,      -4.919791945
          0,           0,          10,      -5.583636508,      -4.645930504,      -4.660597022,                 0,      -5.040863113
          0,           0,          11,      -5.627646918,      -4.705622695,      -4.689624412,                 0,      -5.073074941
          0,           0,          12,      -5.681286959,       -4.74785244,      -4.754739272,                 0,      -5.212605501
          0,           0,          13,      -5.742619976,      -4.779842641,      -4.868949608,                 0,      -5.271198135
          0,           0,          14,      -5.805409176,      -4.829799775,      -4.921839351,                 0,      -5.422251587
          0,           0,          15,      -5.824119593,      -4.863019362,      -4.931065483,                 0,      -5.462660419
          0,           0,          16,      -5.833752558,       -4.86656323,      -4.953371318,                 0,      -5.544133041
          0,           0,          17,      -5.853766515,         -4.868763,      -4.981277805,                 0,      -5.588466088
          0,           0,          18,      -5.867330708,        -4.8797806,      -4.993591362,                 0,      -5.630325797
          0,           0,          19,      -5.854256728,      -4.879394982,      -4.985927988,                 0,      -5.619649879
          0,           0,          20,      -5.849223099,      -4.880099011,      -4.987630721,                 0,      -5.622163289
          0,           0,          21,      -5.853664241,      -4.885402322,       -4.99406178,                 0,      -5.643079404
          0,           0,          22,      -5.851502133,      -4.889360835,      -4.996860639,                 0,      -5.643928476
          0,           0,          23,      -5.843980756,      -4.891223001,       -4.99763576,                 0,      -5.636674648
          0,           0,          24,       -5.84107913,      -4.895629597,      -5.000190591,                 0,       -5.63912446
          0,           0,          25,      -5.841314718,      -4.902800893,      -5.005487827,                 0,      -5.649723976
          0,           0,          26,      -5.840944024,      -4.910786617,      -5.011890535,                 0,      -5.659211931
          0,           0,          27,      -5.840996181,      -4.919307323,      -5.018303935,                 0,      -5.667560705
          0,           0,          28,       -5.84327118,      -4.929185177,      -5.025098948,                 0,      -5.678327203
          0,           0,          29,      -5.846394747,      -4.939506461,      -5.032442983,                 0,      -5.688952927
          0,           0,          30,       -5.84914316,      -4.949125769,      -5.039992333,                 0,      -5.698111461
          0,           0,          31,      -5.852149133,      -4.958297281,      -5.047669607,                 0,      -5.706896854
          0,           0,          32,      -5.855908186,      -4.967389014,      -5.055548964,                 0,       -5.71606519
          0,           0,          33,      -5.860034711,      -4.975912952,      -5.063534864,                 0,      -5.724607665
          0,           0,          34,      -5.864265686,      -4.983401581,      -5.071537312,                 0,      -5.732245804
          0,           0,          35,      -5.868794868,      -4.990048958,       -5.07970559,                 0,      -5.739574289
          0,           0,          36,      -5.873780166,      -4.996151706,       -5.08822827,                 0,      -5.746828468
          0,           0,          37,      -5.879165511,      -5.001695303,      -5.097174564,                 0,      -5.753700498
          0,           0,          38,      -5.884865745,      -5.006615554,      -5.106603707,                 0,      -5.760006333
          0,           0,          39,      -5.890856728,      -5.011005737,      -5.116634669,                 0,      -5.765856099
          0,           0,          40,      -5.897141949,      -5.015001618,      -5.127381323,                 0,      -5.771401564
          0,           0,          41,      -5.903737016,      -5.018706727,      -5.138909215,                 0,      -5.776762384
          0,           0,          42,      -5.910679754,      -5.022258997,      -5.151235989,                 0,       -5.78213771
          0,           0,          43,      -5.918032147,      -5.025845367,      -5.164322383,                 0,      -5.787803439
          0,           0,          44,      -5.925877024,      -5.029646949,      -5.178076827,                 0,      -5.794008273
          0,           0,          45,      -5.934314935,      -5.033828776,      -5.192381275,                 0,      -5.800960998
          0,           0,          46,      -5.943455034,      -5.038562762,      -5.207101375,                 0,      -5.808874816
          0,           0,          47,      -5.953400612,      -5.044015521,       -5.22208936,                 0,      -5.817945257
          0,           0,          48,      -5.964237337,      -5.050317022,       -5.23720948,                 0,      -5.828289388
          0,           0,          49,      -5.976027373,      -5.057554286,      -5.252369752,                 0,      -5.839940672
          0,           0,          50,       -5.98880649,      -5.065783468,      -5.267531715,                 0,      -5.852888625
          0,           0,          51,      -6.002581445,       -5.07503475,      -5.282703559,                 0,      -5.867095962
          0,           0,          52,      -6.017329345,      -5.085310438,      -5.297932358,                 0,       -5.88248994
          0,           0,          53,       -6.03300191,       -5.09658868,      -5.313294868,                 0,      -5.898966916
          0,           0,          54,       -6.04953346,      -5.108833028,      -5.328882587,                 0,       -5.91641529
          0,           0,          55,      -6.066849009,      -5.122000881,      -5.344785281,                 0,      -5.934733534
          0,           0,          56,      -6.084870816,      -5.136048924,       -5.36107887,                 0,      -5.953836455
          0,           0,          57,      -6.103523341,      -5.150937457,      -5.377820141,                 0,      -5.973659791
          0,           0,          58,      -6.122736028,      -5.166633688,      -5.395048558,                 0,      -5.994165649
          0,           0,          59,      -6.142443145,      -5.183112766,      -5.412793082,                 0,      -6.015342799
          0,           0,          60,      -6.162580898,      -5.200356588,      -5.431080021,                 0,      -6.037200811
          0,           0,          61,      -6.183082737,      -5.218351174,      -5.449939025,                 0,      -6.059761788
          0,           0,          62,       -6.20387404,      -5.237083061,      -5.469406539,                 0,      -6.083050268
          0,           0,          63,      -6.224867832,      -5.256535211,      -5.489525895,                 0,      -6.107079809
          0,           0,          64,      -6.245963317,      -5.276683431,      -5.510342893,                 0,       -6.13183847
          0,           0,          65,      -6.267048671,      -5.297494241,       -5.53189742,                 0,      -6.157277976
          0,           0,          66,      -6.288008886,      -5.318924522,      -5.554214024,                 0,      -6.183309402
          0,           0,          67,      -6.308738341,      -5.340922896,      -5.577294418,                 0,      -6.209805934
          0,           0,          68,       -6.32915624,        -5.3634327,      -5.601113301,                 0,       -6.23661323
          0,           0,          69,      -6.349221586,      -5.386396322,      -5.625617661,                 0,      -6.263567423
          0,           0,          70,      -6.368943826,      -5.409760373,      -5.650729571,                 0,      -6.290518926
          0,           0,          71,      -6.388385865,      -5.433480938,      -5.676352482,                 0,      -6.317359009
          0,           0,          72,      -6.407657567,      -5.457527969,      -5.702380893,                 0,      -6.344045874
          0,           0,          73,      -6.426899568,      -5.481887727,      -5.728712582,                 0,      -6.370624555
          0,           0,          74,      -6.446259374,      -5.506562102,      -5.755261142,                 0,      -6.397230303
          0,           0,          75,      -6.465864381,      -5.531564159,      -5.781964962,                 0,      -6.424064958
          0,           0,          76,      -6.485798604,      -5.556910672,      -5.808789142,                 0,      -6.451346604
          0,           0,          77,      -6.506089559,      -5.582613939,      -5.835720171,                 0,      -6.479249777
          0,           0,          78,      -6.526708427,      -5.608675448,      -5.862756946,                 0,      -6.507861404
          0,           0,          79,      -6.547582472,      -5.635082788,      -5.889902522,                 0,      -6.537168194
          0,           0,          80,      -6.568615793,      -5.661809446,      -5.917158183,                 0,      -6.567070858
          0,           0,          81,      -6.589712668,      -5.688815676,      -5.944517125,                 0,      -6.597400453
          0,           0,          82,      -6.610795854,      -5.716047834,      -5.971951701,                 0,       -6.62789511
          0,           0,          83,      -6.631810369,      -5.743433217,      -5.999389362,                 0,        -6.6580894
          0,           0,          84,      -6.652706771,      -5.770869815,      -6.026687852,                 0,        -6.6871326
          0,           0,          85,      -6.673422152,      -5.798220545,      -6.053655692,                 0,      -6.713803727
          0,           0,          86,       -6.69391628,      -5.825335566,      -6.080170897,                 0,       -6.73720874
          0,           0,          87,      -6.714274319,      -5.852110314,      -6.106337205,                 0,      -6.757828818
