"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.0289229      , 0.001           
1               , -0.014237       , 0.001           
2               , -0.0046226      , 0.001           
3               , 0.000818346     , 0.001           
4               , 0.00343239      , 0.001           
5               , 0.00430545      , 0.001           
6               , 0.00420082      , 0.001           
7               , 0.00361176      , 0.001           
8               , 0.00283376      , 0.001           
9               , 0.00203141      , 0.001           
10              , 0.00129272      , 0.001           
11              , 0.000668902     , 0.001           
12              , 0.000199339     , 0.001           
13              , -7.86315e-05    , 0.001           
14              , -0.000135566    , 0.001           
15              , 2.82611e-05     , 0.001           
16              , 0.000339069     , 0.001           
17              , 0.000571888     , 0.001           
18              , 0.000396333     , 0.001           
19              , -0.0278305      , 0.001           
20              , -0.0137334      , 0.001           
21              , -0.00440981     , 0.001           
22              , 0.000897531     , 0.001           
23              , 0.00345474      , 0.001           
24              , 0.00430395      , 0.001           
25              , 0.00418687      , 0.001           
26              , 0.00358813      , 0.001           
27              , 0.00280091      , 0.001           
28              , 0.00198916      , 0.001           
29              , 0.00123871      , 0.001           
30              , 0.000595796     , 0.001           
31              , 9.28738e-05     , 0.001           
32              , -0.000237925    , 0.001           
33              , -0.000362991    , 0.001           
34              , -0.000257575    , 0.001           
35              , 5.66417e-05     , 0.001           
36              , 0.000387218     , 0.001           
37              , 0.000280679     , 0.001           
