"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,   "rms[A_RhoW]"  ,    "rms[A_E]"    
          0,           0,          68,      -6.350543226,        -5.3856603,      -5.670106128,                 0,       -6.25230864
          0,           0,          69,      -6.372267284,      -5.410077457,      -5.694178319,                 0,      -6.279549704
          0,           0,          70,      -6.393551716,      -5.435083485,      -5.718646881,                 0,      -6.306866105
          0,           0,          71,       -6.41446512,      -5.460625592,      -5.743456099,                 0,      -6.334104471
          0,           0,          72,      -6.435147011,      -5.486664619,      -5.768542331,                 0,      -6.361206113
          0,           0,          73,       -6.45578498,      -5.513179261,      -5.793845938,                 0,      -6.388237453
          0,           0,          74,      -6.476578893,      -5.540165585,      -5.819321009,                 0,      -6.415379379
          0,           0,          75,      -6.497699711,      -5.567631165,      -5.844937492,                 0,       -6.44286651
          0,           0,          76,      -6.519254175,      -5.595585965,      -5.870675981,                 0,      -6.470901449
          0,           0,          77,      -6.541264635,      -5.624033525,      -5.896521595,                 0,      -6.499588629
          0,           0,          78,      -6.563666604,      -5.652964923,      -5.922462999,                 0,       -6.52891478
          0,           0,          79,      -6.586321322,      -5.682355725,      -5.948496613,                 0,       -6.55876933
          0,           0,          80,       -6.60903923,      -5.712164849,      -5.974631219,                 0,      -6.588980003
          0,           0,          81,      -6.631610352,      -5.742334249,      -6.000887785,                 0,      -6.619341517
          0,           0,          82,      -6.653836808,      -5.772788937,      -6.027291866,                 0,      -6.649625408
          0,           0,          83,      -6.675561718,      -5.803437597,      -6.053860264,                 0,      -6.679569202
          0,           0,          84,      -6.696690224,      -5.834174847,      -6.080590394,                 0,      -6.708860844
          0,           0,          85,       -6.71720448,      -5.864887021,      -6.107468635,                 0,      -6.737169319
          0,           0,          86,      -6.737180422,      -5.895463114,      -6.134508377,                 0,      -6.764289613
          0,           0,          87,      -6.756801377,       -5.92580927,      -6.161790263,                 0,      -6.790349143
          0,           0,          88,      -6.776336828,      -5.955860689,      -6.189446841,                 0,      -6.815813933
          0,           0,          89,      -6.796075821,      -5.985584231,      -6.217592694,                 0,      -6.841186983
          0,           0,          90,      -6.816258015,      -6.014970055,      -6.246270951,                 0,      -6.866710135
          0,           0,          91,      -6.837035578,      -6.044019965,      -6.275449662,                 0,      -6.892326087
          0,           0,          92,      -6.858462696,      -6.072742921,      -6.305044163,                 0,      -6.917825574
          0,           0,          93,      -6.880501416,      -6.101157459,      -6.334940477,                 0,      -6.943013339
          0,           0,          94,      -6.903036188,      -6.129292455,      -6.365007336,                 0,      -6.967805583
          0,           0,          95,      -6.925892246,       -6.15718056,      -6.395091084,                 0,      -6.992244112
          0,           0,          96,      -6.948857764,      -6.184846208,       -6.42500122,                 0,      -7.016445782
          0,           0,          97,       -6.97171399,      -6.212297336,       -6.45450493,                 0,      -7.040525987
          0,           0,          98,      -6.994272765,      -6.239529955,       -6.48334653,                 0,      -7.064546108
          0,           0,          99,      -7.016411256,      -6.266543239,      -6.511296248,                 0,      -7.088513625
          0,           0,         100,      -7.038092841,      -6.293351489,      -6.538216381,                 0,      -7.112417079
          0,           0,         101,      -7.059371217,      -6.319983009,      -6.564118217,                 0,      -7.136258177
          0,           0,         102,      -7.080379911,      -6.346469124,      -6.589182188,                 0,      -7.160063923
          0,           0,         103,      -7.101309044,      -6.372832613,      -6.613729533,                 0,      -7.183883806
          0,           0,         104,      -7.122371488,      -6.399081147,      -6.638154019,                 0,      -7.207780368
          0,           0,         105,      -7.143762576,      -6.425206506,       -6.66283373,                 0,      -7.231814068
          0,           0,         106,      -7.165619218,       -6.45118948,      -6.688046325,                 0,      -7.256019787
          0,           0,         107,      -7.187985551,      -6.477010309,      -6.713912339,                 0,      -7.280382088
          0,           0,         108,      -7.210791782,      -6.502660918,      -6.740386045,                 0,      -7.304828212
          0,           0,         109,      -7.233850898,      -6.528150946,      -6.767296276,                 0,       -7.32925023
          0,           0,         110,      -7.256876151,      -6.553502018,      -6.794418122,                 0,      -7.353544509
          0,           0,         111,      -7.279520498,       -6.57873301,       -6.82154582,                 0,      -7.377644628
          0,           0,         112,      -7.301435236,      -6.603844806,      -6.848542412,                 0,      -7.401534006
          0,           0,         113,      -7.322338666,      -6.628812154,      -6.875356055,                 0,      -7.425240434
          0,           0,         114,      -7.342078863,      -6.653585664,      -6.902007004,                 0,      -7.448820451
          0,           0,         115,       -7.36067183,      -6.678102497,      -6.928557562,                 0,      -7.472339088
          0,           0,         116,       -7.37830117,      -6.702301443,      -6.955078133,                 0,      -7.495848415
          0,           0,         117,       -7.39527713,      -6.726136853,      -6.981618609,                 0,       -7.51936806
          0,           0,         118,      -7.411966112,      -6.749586314,      -7.008189984,                 0,      -7.542869672
          0,           0,         119,      -7.428710552,      -6.772648984,      -7.034758103,                 0,       -7.56626646
          0,           0,         120,      -7.445760408,      -6.795334918,      -7.061249539,                 0,      -7.589411093
          0,           0,         121,      -7.463231732,      -6.817649301,      -7.087567507,                 0,      -7.612108133
          0,           0,         122,      -7.481098178,      -6.839577798,      -7.113613739,                 0,      -7.634144806
          0,           0,         123,       -7.49921232,       -6.86107898,      -7.139310928,                 0,      -7.655335041
          0,           0,         124,      -7.517348395,      -6.882086765,      -7.164620484,                 0,      -7.675562832
