"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.0344616      , 0.001           
1               , -0.01563        , 0.001           
2               , -0.00442111     , 0.001           
3               , 0.00152324      , 0.001           
4               , 0.00418571      , 0.001           
5               , 0.00494698      , 0.001           
6               , 0.00470139      , 0.001           
7               , 0.00399246      , 0.001           
8               , 0.00312798      , 0.001           
9               , 0.00226986      , 0.001           
10              , 0.00150023      , 0.001           
11              , 0.000866605     , 0.001           
12              , 0.000408498     , 0.001           
13              , 0.000166403     , 0.001           
14              , 0.000173868     , 0.001           
15              , 0.000433202     , 0.001           
16              , 0.000870096     , 0.001           
17              , 0.00126037      , 0.001           
18              , 0.00135783      , 0.001           
19              , -0.0226239      , 0.001           
20              , -0.0125718      , 0.001           
21              , -0.00481747     , 0.001           
22              , 6.211e-06       , 0.001           
23              , 0.0025408       , 0.001           
24              , 0.00353212      , 0.001           
25              , 0.00358684      , 0.001           
26              , 0.00313593      , 0.001           
27              , 0.00245826      , 0.001           
28              , 0.00171992      , 0.001           
29              , 0.00101343      , 0.001           
30              , 0.0003904       , 0.001           
31              , -0.000114726    , 0.001           
32              , -0.000471296    , 0.001           
33              , -0.000649573    , 0.001           
34              , -0.000629918    , 0.001           
35              , -0.000439892    , 0.001           
36              , -0.000279323    , 0.001           
37              , -0.000673544    , 0.001           
