"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.632896519016437e-05, -2.682030452630147e-02, 2.820304579555529e-01, -1.134094062219504e-01, -9.197888324185137e-03, 0.000000000000000e+00, 0.000000000000000e+00, -3.506975681071867e-01
1, 9.990000128750000e-01, -1.452537504052920e-04, -2.348523084539368e-02, 2.400275168191517e-01, -1.190877872380559e-01, -6.760716904863882e-03, 0.000000000000000e+00, 0.000000000000000e+00, -3.060137289207790e-02
2, 9.977599978450000e-01, -3.251111630156300e-04, -2.120732999429514e-02, 2.139384961453008e-01, -1.231702485122506e-01, -6.265205242369507e-03, 0.000000000000000e+00, 0.000000000000000e+00, 9.733632389671058e-03
3, 9.960200190539999e-01, -5.769983605901485e-04, -1.901247193685311e-02, 1.898583224626623e-01, -1.255510338752302e-01, -5.534574670814005e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.997308402557249e-03
4, 9.937800168990000e-01, -9.004365425509819e-04, -1.719453357352259e-02, 1.705709207139355e-01, -1.281582958371292e-01, -4.992965041560300e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.379501568630594e-03
5, 9.910500049590000e-01, -1.293363843462116e-03, -1.558793361125124e-02, 1.539455943863495e-01, -1.302009722703505e-01, -4.513557795573995e-03, 0.000000000000000e+00, 0.000000000000000e+00, -5.263895982017279e-04
6, 9.878399968150000e-01, -1.753609743384430e-03, -1.419406459178321e-02, 1.398190399411948e-01, -1.317908324992621e-01, -4.096041271844653e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.996934122679567e-04
7, 9.841300249100000e-01, -2.283176811071472e-03, -1.292016671385156e-02, 1.271476098588892e-01, -1.329840607978593e-01, -3.721691067924900e-03, 0.000000000000000e+00, 0.000000000000000e+00, -6.496860669517487e-04
8, 9.799500107769999e-01, -2.876826092032643e-03, -1.175694386817906e-02, 1.157702737456815e-01, -1.339628832942089e-01, -3.381348457110970e-03, 0.000000000000000e+00, 0.000000000000000e+00, -1.728202104058572e-04
9, 9.752799868580000e-01, -3.536324145770189e-03, -1.067683053887613e-02, 1.053501109049034e-01, -1.346908663261101e-01, -3.067016240416574e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.434313207568092e-04
10, 9.701499938960000e-01, -4.256268552403566e-03, -9.666482728436418e-03, 9.571904337564474e-02, -1.352202768796142e-01, -2.773941964414506e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.326558560075778e-04
11, 9.645400047300000e-01, -5.038225493362627e-03, -8.713336797487916e-03, 8.672782148822787e-02, -1.355790896269028e-01, -2.499662675666952e-03, 0.000000000000000e+00, 0.000000000000000e+00, -1.527001324453982e-04
12, 9.584699869160000e-01, -5.878077433056352e-03, -7.808549037292271e-03, 7.826938315443818e-02, -1.357728212881772e-01, -2.239344984213019e-03, 0.000000000000000e+00, 0.000000000000000e+00, -1.907840256504305e-04
13, 9.519400000570000e-01, -6.774428848839826e-03, -6.946524823195595e-03, 7.027618426870799e-02, -1.358287444329145e-01, -1.992724240328311e-03, 0.000000000000000e+00, 0.000000000000000e+00, -1.134543448388598e-04
14, 9.449599981310000e-01, -7.724467125531491e-03, -6.123339262281842e-03, 6.269766611833678e-02, -1.357564215671485e-01, -1.756989405358174e-03, 0.000000000000000e+00, 0.000000000000000e+00, -1.555650708372472e-04
15, 9.375399947170000e-01, -8.725349486403867e-03, -5.337671439351557e-03, 5.550776564969886e-02, -1.355444165594246e-01, -1.530627487678266e-03, 0.000000000000000e+00, 0.000000000000000e+00, -7.131217900267939e-05
16, 9.296900033950000e-01, -9.774221272349531e-03, -4.580428327850878e-03, 4.862070296292677e-02, -1.352300380003798e-01, -1.314122047724749e-03, 0.000000000000000e+00, 0.000000000000000e+00, -1.424047831775900e-04
17, 9.214000105860000e-01, -1.087086069705918e-02, -3.851034815489564e-03, 4.202240042134742e-02, -1.348003238227403e-01, -1.104457742777298e-03, 0.000000000000000e+00, 0.000000000000000e+00, -8.019043531475315e-05
18, 9.126999974250000e-01, -1.200973104171110e-02, -3.141994082879940e-03, 3.564380163583043e-02, -1.342868645139399e-01, -9.026166730677542e-04, 0.000000000000000e+00, 0.000000000000000e+00, -1.509749432499567e-04
19, 9.035800099370001e-01, -1.319055953446835e-02, -2.456957815153995e-03, 2.950981691965933e-02, -1.336761530343143e-01, -7.061240205133490e-04, 0.000000000000000e+00, 0.000000000000000e+00, -6.748208391124318e-05
20, 8.940600156780000e-01, -1.440916392228702e-02, -1.790069352503038e-03, 2.356568212808670e-02, -1.329787764380463e-01, -5.160513121498248e-04, 0.000000000000000e+00, 0.000000000000000e+00, -9.462192448883317e-05
21, 8.841500282290000e-01, -1.566269158090452e-02, -1.141834612857770e-03, 1.781337496654733e-02, -1.322108585489920e-01, -3.305638202201192e-04, 0.000000000000000e+00, 0.000000000000000e+00, -1.381100124782132e-04
22, 8.738499879840000e-01, -1.694956337677533e-02, -5.129050670988240e-04, 1.225281830897411e-02, -1.313549228979262e-01, -1.496770046712641e-04, 0.000000000000000e+00, 0.000000000000000e+00, -4.025834852771121e-05
23, 8.631799817090000e-01, -1.826569132102762e-02, 1.041648312365121e-04, 6.820738620299680e-03, -1.304398512258026e-01, 2.649612489431137e-05, 0.000000000000000e+00, 0.000000000000000e+00, -1.608313138508027e-04
24, 8.521599769590000e-01, -1.960709133914372e-02, 7.054586277499159e-04, 1.545308181305382e-03, -1.294413873630340e-01, 1.996843341431655e-04, 0.000000000000000e+00, 0.000000000000000e+00, -2.003365339051843e-05
25, 8.407700061800000e-01, -2.097463226217677e-02, 1.300999355613831e-03, -3.656505971442837e-03, -1.283945633435871e-01, 3.682128073383561e-04, 0.000000000000000e+00, 0.000000000000000e+00, -1.511590171653377e-04
26, 8.290500044819999e-01, -2.236196298315981e-02, 1.883444797570680e-03, -8.728521423949444e-03, -1.272632502699220e-01, 5.354146451801514e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.567785940016318e-05
27, 8.170099854470000e-01, -2.376642068849115e-02, 2.463280775857561e-03, -1.375507534713951e-02, -1.260932618568750e-01, 6.983671843836907e-04, 0.000000000000000e+00, 0.000000000000000e+00, -1.303597667252528e-04
28, 8.046399950980000e-01, -2.518763605296113e-02, 3.030067744661297e-03, -1.865167179688601e-02, -1.248726446279869e-01, 8.598489493175311e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.693505628607503e-05
29, 7.919700145720000e-01, -2.662062628442961e-02, 3.588675617821710e-03, -2.346322249151775e-02, -1.235767747934909e-01, 1.019724831202222e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.804489127254129e-05
30, 7.790099978450000e-01, -2.806276676215449e-02, 4.139963021356754e-03, -2.819412890434959e-02, -1.222367005679453e-01, 1.176400721576750e-03, 0.000000000000000e+00, 0.000000000000000e+00, 3.308793578241442e-05
31, 7.657799720760000e-01, -2.951033727360171e-02, 4.684666501344725e-03, -3.285852931104155e-02, -1.207859415686877e-01, 1.334432706651449e-03, 0.000000000000000e+00, 0.000000000000000e+00, 8.970640339684762e-05
32, 7.522799968720000e-01, -3.096181144522562e-02, 5.233531616400972e-03, -3.753578049972850e-02, -1.193121883290229e-01, 1.487475094903538e-03, 0.000000000000000e+00, 0.000000000000000e+00, -4.307521731102146e-05
33, 7.385200262070000e-01, -3.241453277608040e-02, 5.777074860928624e-03, -4.215653973914158e-02, -1.177423223534782e-01, 1.644531018319163e-03, 0.000000000000000e+00, 0.000000000000000e+00, 6.564891079263129e-05
34, 7.245299816130000e-01, -3.386376679305321e-02, 6.323515970522569e-03, -4.678059781804163e-02, -1.161432515850361e-01, 1.796155744655712e-03, 0.000000000000000e+00, 0.000000000000000e+00, -4.609984017388354e-05
35, 7.103199958800001e-01, -3.530689307158652e-02, 6.863162036746874e-03, -5.133827190513548e-02, -1.144330955847816e-01, 1.952031341054779e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.464016975021964e-04
36, 6.958900094030001e-01, -3.674225211597043e-02, 7.406864782628145e-03, -5.591086156114287e-02, -1.126714176169311e-01, 2.104425511188642e-03, 0.000000000000000e+00, 0.000000000000000e+00, -7.218316725355581e-05
37, 6.812700033190000e-01, -3.816515293304169e-02, 7.944060670587281e-03, -6.041975909549753e-02, -1.107934870934966e-01, 2.259544062719181e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.958365848369906e-04
38, 6.664699912070000e-01, -3.957289370556494e-02, 8.491394975929642e-03, -6.499270924922951e-02, -1.088524035491738e-01, 2.413307253319346e-03, 0.000000000000000e+00, 0.000000000000000e+00, -1.717733907190779e-04
39, 6.514999866490000e-01, -4.096270419333766e-02, 9.030615997133513e-03, -6.948904423320483e-02, -1.067922762310187e-01, 2.568802562488426e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.759080959844503e-04
40, 6.363800168040000e-01, -4.233084266562091e-02, 9.584439849764695e-03, -7.408571755793410e-02, -1.046439925099797e-01, 2.724398266733108e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.437546355606614e-04
41, 6.211299896240000e-01, -4.367359094194759e-02, 1.012960721716098e-02, -7.860171121849613e-02, -1.023657612285406e-01, 2.881500064851028e-03, 0.000000000000000e+00, 0.000000000000000e+00, 3.127100961268240e-04
42, 6.057599782940000e-01, -4.498807223669178e-02, 1.069206538905228e-02, -8.323836622569201e-02, -9.998061089721562e-02, 3.039021087190087e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.772102324711119e-04
43, 5.902799963950000e-01, -4.627132533375768e-02, 1.124589098641140e-02, -8.779478326719446e-02, -9.744680192279088e-02, 3.198253401812912e-03, 0.000000000000000e+00, 0.000000000000000e+00, 3.306185848593618e-04
44, 5.747100114820000e-01, -4.751950934859488e-02, 1.181796282962856e-02, -9.247832490909866e-02, -9.478246051996217e-02, 3.358489166120004e-03, 0.000000000000000e+00, 0.000000000000000e+00, -3.018030076334117e-04
45, 5.590599775310000e-01, -4.872955796694115e-02, 1.237905969161650e-02, -9.706338472539666e-02, -9.195409093968969e-02, 3.520179231618060e-03, 0.000000000000000e+00, 0.000000000000000e+00, 3.140030962564361e-04
46, 5.433599948880000e-01, -4.989683951066199e-02, 1.295566134068489e-02, -1.017542389501681e-01, -8.895812439718584e-02, 3.683899731503176e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.878352501086439e-04
47, 5.276100039480000e-01, -5.101897737545535e-02, 1.352224133516253e-02, -1.063522790453560e-01, -8.579060729342657e-02, 3.847863529942081e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.603633793318723e-04
48, 5.118399858470000e-01, -5.209138375948307e-02, 1.410502174371733e-02, -1.110589206788015e-01, -8.242237738518535e-02, 4.014617854201204e-03, 0.000000000000000e+00, 0.000000000000000e+00, -3.102902515723653e-04
49, 4.960500001910000e-01, -5.311153541819326e-02, 1.468365219946049e-02, -1.157162860340435e-01, -7.885962112056509e-02, 4.180441852813785e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.922125517944669e-04
50, 4.802699983120000e-01, -5.407492053959814e-02, 1.528088040223431e-02, -1.204994861846106e-01, -7.504888481122536e-02, 4.350216753796426e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.849159102083732e-04
51, 4.645099937920000e-01, -5.497835513414191e-02, 1.588025167435508e-02, -1.252779528365624e-01, -7.104290239548305e-02, 4.518001783894889e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.675164118372101e-05
52, 4.487800002100000e-01, -5.581859897363720e-02, 1.648924523755659e-02, -1.301104626276428e-01, -6.675731277311442e-02, 4.689992002952394e-03, 0.000000000000000e+00, 0.000000000000000e+00, -1.774328248818714e-04
