"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.03061        , 0.001           
1               , -0.0145399      , 0.001           
2               , -0.00476342     , 0.001           
3               , 0.000562965     , 0.001           
4               , 0.00305535      , 0.001           
5               , 0.00386276      , 0.001           
6               , 0.0037475       , 0.001           
7               , 0.00318671      , 0.001           
8               , 0.00246041      , 0.001           
9               , 0.00172116      , 0.001           
10              , 0.00104649      , 0.001           
11              , 0.000475661     , 0.001           
12              , 3.28241e-05     , 0.001           
13              , -0.000262537    , 0.001           
14              , -0.000397064    , 0.001           
15              , -0.000376438    , 0.001           
16              , -0.000252269    , 0.001           
17              , -0.000171658    , 0.001           
18              , -0.000375335    , 0.001           
19              , -0.0365856      , 0.001           
20              , -0.0144631      , 0.001           
21              , -0.00272778     , 0.001           
22              , 0.00294418      , 0.001           
23              , 0.00518609      , 0.001           
24              , 0.00558933      , 0.001           
25              , 0.00509673      , 0.001           
26              , 0.00424394      , 0.001           
27              , 0.00331585      , 0.001           
28              , 0.00245037      , 0.001           
29              , 0.00170669      , 0.001           
30              , 0.00110892      , 0.001           
31              , 0.000671976     , 0.001           
32              , 0.000413987     , 0.001           
33              , 0.000357826     , 0.001           
34              , 0.000523703     , 0.001           
35              , 0.000907787     , 0.001           
36              , 0.00141944      , 0.001           
37              , 0.00195279      , 0.001           
