"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,   "rms[A_RhoW]"  ,    "rms[A_E]"    
          0,           0,           0,       -5.73613681,      -4.743096737,       -5.17099334,                 0,      -3.964927748
          0,           0,           1,      -4.613808369,      -3.837299032,      -3.792903113,                 0,      -4.138261476
          0,           0,           2,      -4.590156176,      -3.836537197,      -3.863564055,                 0,      -4.219104695
          0,           0,           3,      -4.681055342,      -3.933058884,      -3.956542761,                 0,      -4.328205149
          0,           0,           4,      -4.795318851,       -4.04193914,      -4.073023075,                 0,      -4.374369105
          0,           0,           5,      -4.820144212,      -4.071949318,      -4.123784091,                 0,      -4.450487412
          0,           0,           6,      -4.962290543,      -4.212318446,      -4.219820214,                 0,      -4.553427395
          0,           0,           7,      -5.043541867,      -4.298960141,      -4.280743604,                 0,      -4.640632563
          0,           0,           8,      -5.141336185,      -4.391183243,      -4.375270329,                 0,      -4.761846816
          0,           0,           9,      -5.206894952,      -4.439127501,      -4.475940653,                 0,      -4.818740055
          0,           0,          10,      -5.277631087,      -4.494305236,      -4.545015718,                 0,      -4.944492071
          0,           0,          11,      -5.341025095,      -4.571378041,      -4.596050509,                 0,      -4.982286996
          0,           0,          12,      -5.357078423,      -4.588475997,      -4.632592898,                 0,      -5.072290488
          0,           0,          13,      -5.423986087,      -4.627336315,      -4.707083515,                 0,      -5.166554181
          0,           0,          14,      -5.475795057,      -4.660121221,      -4.761815688,                 0,      -5.250223961
          0,           0,          15,      -5.475442004,       -4.67931587,      -4.789455866,                 0,      -5.332581581
          0,           0,          16,      -5.475851161,      -4.697190702,       -4.82167617,                 0,      -5.371370697
          0,           0,          17,      -5.491993585,      -4.714060876,      -4.838390142,                 0,      -5.446267197
          0,           0,          18,      -5.507767723,      -4.733021927,      -4.860589836,                 0,      -5.491491951
          0,           0,          19,      -5.505331667,      -4.741975881,      -4.871247289,                 0,      -5.506062954
