"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.632896519016437e-05, -5.269690695605028e-02, 2.452486182772507e-01, -1.024252420393972e-01, -1.418351609762646e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.557719009858175e-01
1, 9.990000128750000e-01, -1.452537504052920e-04, -4.628867904957230e-02, 2.185191141491952e-01, -1.066990054711269e-01, -1.266424192278188e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.394280572593692e-03
2, 9.977599978450000e-01, -3.251111630156300e-04, -4.150293974845014e-02, 1.978497389696237e-01, -1.088739421715525e-01, -1.146258599511412e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.943572028997834e-03
3, 9.960200190539999e-01, -5.769983605901485e-04, -3.732541150003608e-02, 1.783282076546629e-01, -1.104598901652648e-01, -1.039509141532893e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.113238687973498e-03
4, 9.937800168990000e-01, -9.004365425509819e-04, -3.383298235869553e-02, 1.617016067762973e-01, -1.123304563916848e-01, -9.458739216004795e-03, 0.000000000000000e+00, 0.000000000000000e+00, 8.691655714477960e-04
5, 9.910500049590000e-01, -1.293363843462116e-03, -3.076019329843474e-02, 1.470153743712598e-01, -1.139775819967231e-01, -8.633682559390106e-03, 0.000000000000000e+00, 0.000000000000000e+00, 8.007512216646742e-05
6, 9.878399968150000e-01, -1.753609743384430e-03, -2.808664895186962e-02, 1.342898827641965e-01, -1.153021611064544e-01, -7.888687866169910e-03, 0.000000000000000e+00, 0.000000000000000e+00, 4.409848934773978e-04
7, 9.841300249100000e-01, -2.283176811071472e-03, -2.565167935286127e-02, 1.227590552756834e-01, -1.163019736424442e-01, -7.211706022564204e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.791191750477954e-05
8, 9.799500107769999e-01, -2.876826092032643e-03, -2.342627186737881e-02, 1.122975105134141e-01, -1.171084608287375e-01, -6.587479031803331e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.254068640943755e-04
9, 9.752799868580000e-01, -3.536324145770189e-03, -2.136389552552283e-02, 1.026639571263519e-01, -1.177073031708749e-01, -6.007852413241243e-03, 0.000000000000000e+00, 0.000000000000000e+00, 6.764946963531377e-05
10, 9.701499938960000e-01, -4.256268552403566e-03, -1.943599375546145e-02, 9.371357575547279e-02, -1.181229125100694e-01, -5.464085227187914e-03, 0.000000000000000e+00, 0.000000000000000e+00, 4.219842054484616e-05
11, 9.645400047300000e-01, -5.038225493362627e-03, -1.761821861114942e-02, 8.532415496252746e-02, -1.183844964334634e-01, -4.952590130208799e-03, 0.000000000000000e+00, 0.000000000000000e+00, 6.161509457076075e-05
12, 9.584699869160000e-01, -5.878077433056352e-03, -1.589512554995082e-02, 7.741289810601043e-02, -1.184932526286536e-01, -4.466525195827565e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.673316404646580e-05
13, 9.519400000570000e-01, -6.774428848839826e-03, -1.425345414714398e-02, 6.991289457747246e-02, -1.184711778329296e-01, -4.004583203368209e-03, 0.000000000000000e+00, 0.000000000000000e+00, 5.392812417431028e-05
14, 9.449599981310000e-01, -7.724467125531491e-03, -1.268304606089431e-02, 6.277194567480997e-02, -1.183313167456277e-01, -3.563413511367011e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.640808462662377e-05
15, 9.375399947170000e-01, -8.725349486403867e-03, -1.118126627339940e-02, 5.596927123462331e-02, -1.180602029193024e-01, -3.139828693639535e-03, 0.000000000000000e+00, 0.000000000000000e+00, 4.831510188165195e-05
16, 9.296900033950000e-01, -9.774221272349531e-03, -9.736286825325961e-03, 4.945125305007573e-02, -1.176969971940967e-01, -2.733522684270050e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.238599790746832e-05
17, 9.214000105860000e-01, -1.087086069705918e-02, -8.350131322770940e-03, 4.321942419888453e-02, -1.172182122670816e-01, -2.341040229939245e-03, 0.000000000000000e+00, 0.000000000000000e+00, 3.668175314962330e-05
18, 9.126999974250000e-01, -1.200973104171110e-02, -7.005207465418801e-03, 3.719587128673862e-02, -1.166567715907587e-01, -1.963020779222052e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.709019845626256e-06
19, 9.035800099370001e-01, -1.319055953446835e-02, -5.707731661494689e-03, 3.140298825297101e-02, -1.160024229430246e-01, -1.595886393185830e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.963364222931795e-05
20, 8.940600156780000e-01, -1.440916392228702e-02, -4.446685088452041e-03, 2.579059327015453e-02, -1.152620187403195e-01, -1.240795067907273e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.714518336261928e-05
21, 8.841500282290000e-01, -1.566269158090452e-02, -3.219495241989670e-03, 2.034724782947073e-02, -1.144556121641598e-01, -8.955063807513143e-04, 0.000000000000000e+00, 0.000000000000000e+00, -8.774842466253544e-06
22, 8.738499879840000e-01, -1.694956337677533e-02, -2.030521977037256e-03, 1.508658414928971e-02, -1.135624279532952e-01, -5.590670025090658e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.353435853858594e-05
23, 8.631799817090000e-01, -1.826569132102762e-02, -8.674681526084814e-04, 9.957376086827979e-03, -1.126156988287534e-01, -2.317004990413219e-04, 0.000000000000000e+00, 0.000000000000000e+00, -2.621149034702077e-05
24, 8.521599769590000e-01, -1.960709133914372e-02, 2.585215331987584e-04, 5.001875989553221e-03, -1.115840634929266e-01, 8.899126901547393e-05, 0.000000000000000e+00, 0.000000000000000e+00, 3.912692981603867e-05
25, 8.407700061800000e-01, -2.097463226217677e-02, 1.368266342351101e-03, 1.338589872999139e-04, -1.105040918094219e-01, 4.011238480092507e-04, 0.000000000000000e+00, 0.000000000000000e+00, -1.762293023468752e-05
26, 8.290500044819999e-01, -2.236196298315981e-02, 2.448465374600186e-03, -4.596046406459976e-03, -1.093399270975992e-01, 7.092650509730714e-04, 0.000000000000000e+00, 0.000000000000000e+00, 4.772693988642965e-05
27, 8.170099854470000e-01, -2.376642068849115e-02, 3.521332226771788e-03, -9.277285408881692e-03, -1.081335037011605e-01, 1.009412467689546e-03, 0.000000000000000e+00, 0.000000000000000e+00, -1.103439518155117e-05
28, 8.046399950980000e-01, -2.518763605296113e-02, 4.573196051957194e-03, -1.385451091916895e-02, -1.068769731022421e-01, 1.305894574132480e-03, 0.000000000000000e+00, 0.000000000000000e+00, 4.538641583794955e-05
29, 7.919700145720000e-01, -2.662062628442961e-02, 5.609629050378976e-03, -1.835470169622078e-02, -1.055479822629869e-01, 1.598006738535773e-03, 0.000000000000000e+00, 0.000000000000000e+00, 3.947127826204913e-05
30, 7.790099978450000e-01, -2.806276676215449e-02, 6.631469510703518e-03, -2.277826654612233e-02, -1.041831797639662e-01, 1.885443332209564e-03, 0.000000000000000e+00, 0.000000000000000e+00, 3.691047702834517e-05
31, 7.657799720760000e-01, -2.951033727360171e-02, 7.629439180455064e-03, -2.709520249665851e-02, -1.027099390339804e-01, 2.172169054651374e-03, 0.000000000000000e+00, 0.000000000000000e+00, 6.226421265613707e-05
32, 7.522799968720000e-01, -3.096181144522562e-02, 8.631696817880573e-03, -3.141323677298161e-02, -1.012076230294176e-01, 2.451970561438788e-03, 0.000000000000000e+00, 0.000000000000000e+00, 8.017369894190528e-06
33, 7.385200262070000e-01, -3.241453277608040e-02, 9.619278380274024e-03, -3.566225391357764e-02, -9.961265227281303e-02, 2.734819439671980e-03, 0.000000000000000e+00, 0.000000000000000e+00, 5.655725129242924e-05
34, 7.245299816130000e-01, -3.386376679305321e-02, 1.061214285341055e-02, -3.991694842519381e-02, -9.798368516458297e-02, 3.010746629566255e-03, 0.000000000000000e+00, 0.000000000000000e+00, 3.985193917165140e-09
35, 7.103199958800001e-01, -3.530689307158652e-02, 1.159246593510814e-02, -4.411273431212243e-02, -9.625136178564930e-02, 3.289859085693411e-03, 0.000000000000000e+00, 0.000000000000000e+00, 8.436528180358705e-05
36, 6.958900094030001e-01, -3.674225211597043e-02, 1.257967861640017e-02, -4.832282283037345e-02, -9.446672223852466e-02, 3.565063285780813e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.224481572174391e-05
37, 6.812700033190000e-01, -3.816515293304169e-02, 1.355138865376325e-02, -5.246250141745372e-02, -9.257135964003302e-02, 3.842297315672307e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.051545740419124e-04
38, 6.664699912070000e-01, -3.957289370556494e-02, 1.453836607813227e-02, -5.665095726914991e-02, -9.061013115152353e-02, 4.117634489370093e-03, 0.000000000000000e+00, 0.000000000000000e+00, -6.355734260058531e-05
39, 6.514999866490000e-01, -4.096270419333766e-02, 1.550839480792045e-02, -6.076312048464032e-02, -8.853367819897964e-02, 4.394675702291977e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.329667883903185e-04
