"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          64,      -4.605760495,        -2.4395765,      -2.213145507,       0.875943554,      -7.029480185
          0,           0,          65,      -4.591245774,      -2.474025712,      -2.264340858,      0.8903807294,      -7.030470911
          0,           0,          66,      -4.585023609,      -2.492451264,      -2.296650096,      0.8965108358,      -7.032188069
          0,           0,          67,      -4.587075324,       -2.49489334,      -2.314925878,      0.8943698917,       -7.03442808
          0,           0,          68,      -4.594862655,       -2.48703241,      -2.315896761,      0.8865060716,        -7.0368279
          0,           0,          69,      -4.607181814,      -2.475852195,      -2.299229296,      0.8741169922,      -7.039108619
          0,           0,          70,      -4.623936822,      -2.466628396,       -2.27991764,      0.8573056635,      -7.041143723
          0,           0,          71,      -4.645140294,      -2.461771973,      -2.262200103,      0.8360463542,      -7.042757517
          0,           0,          72,      -4.668361019,      -2.460939144,      -2.240129093,      0.8127856799,      -7.043811781
          0,           0,          73,      -4.694756264,      -2.462203107,      -2.228217983,      0.7863773952,      -7.044428279
          0,           0,          74,      -4.723563421,      -2.463796415,      -2.219053669,      0.7576000909,      -7.044588314
          0,           0,          75,      -4.753433574,      -2.461725957,       -2.20371204,      0.7277965981,      -7.044324724
          0,           0,          76,       -4.78817134,      -2.455503317,      -2.200129643,      0.6931659798,      -7.043661246
          0,           0,          77,      -4.823515895,      -2.444482366,      -2.191869265,      0.6580045821,      -7.042702746
          0,           0,          78,      -4.858489857,      -2.430476083,      -2.185720246,      0.6232338535,      -7.041468148
          0,           0,          79,      -4.892795182,      -2.416369179,      -2.185412651,      0.5892004073,      -7.039966805
          0,           0,          80,      -4.915667756,      -2.404938875,      -2.181578865,      0.5665237005,       -7.03819724
          0,           0,          81,      -4.928237743,      -2.398305181,      -2.187863046,       0.554086943,      -7.036235306
          0,           0,          82,      -4.923647472,      -2.398044066,      -2.194049828,      0.5586439849,      -7.034144499
          0,           0,          83,      -4.903680897,      -2.405400561,      -2.207217421,      0.5784330032,      -7.032067558
          0,           0,          84,      -4.871770498,      -2.420583249,      -2.219682128,       0.610100921,      -7.030033585
          0,           0,          85,      -4.839013026,      -2.444104471,      -2.246195729,      0.6426362178,      -7.028223905
          0,           0,          86,      -4.805455375,      -2.475585234,      -2.265710387,      0.6759983563,      -7.026781536
          0,           0,          87,      -4.776996281,      -2.514048349,      -2.295255012,      0.7043078046,      -7.025757317
          0,           0,          88,      -4.755222975,      -2.557591041,      -2.327391182,      0.7259742501,      -7.025226455
          0,           0,          89,      -4.738145098,      -2.601840569,      -2.353059824,      0.7429673765,      -7.025268555
          0,           0,          90,       -4.72945301,       -2.63999363,      -2.378714482,       0.751612115,      -7.025870613
          0,           0,          91,      -4.727636922,      -2.665090644,      -2.400263841,      0.7533966948,      -7.026935103
          0,           0,          92,      -4.730976485,      -2.672044682,      -2.398797621,       0.750048511,      -7.028422949
          0,           0,          93,      -4.741921377,      -2.662035216,      -2.407557806,      0.7391015595,      -7.030215353
          0,           0,          94,      -4.757504202,      -2.641280708,       -2.38536388,      0.7235253109,      -7.032222717
          0,           0,          95,      -4.780110193,       -2.61667919,      -2.384091016,      0.7009275088,      -7.034399927
          0,           0,          96,      -4.805468394,       -2.59305935,      -2.353682389,      0.6755659037,      -7.036621717
          0,           0,          97,      -4.836238857,      -2.572820082,      -2.342027961,      0.6447790908,       -7.03881939
          0,           0,          98,      -4.868937669,      -2.557884529,       -2.32215681,      0.6120020794,      -7.040915759
          0,           0,          99,      -4.901135367,      -2.547521199,      -2.306861854,      0.5796871884,      -7.042945996
          0,           0,         100,       -4.93323048,      -2.542334762,      -2.300057382,      0.5473913369,      -7.044834977
          0,           0,         101,      -4.955027417,      -2.541120848,      -2.281564263,      0.5253544215,      -7.046544334
          0,           0,         102,      -4.974835281,      -2.544609667,      -2.284632007,       0.505279292,      -7.048012612
          0,           0,         103,      -4.979581579,      -2.551463692,      -2.276401132,      0.5003583101,      -7.049220686
          0,           0,         104,      -4.973814683,       -2.56200928,      -2.278992286,      0.5060258376,      -7.050155534
          0,           0,         105,      -4.962378261,      -2.575907338,      -2.286496988,      0.5175089624,      -7.050769454
          0,           0,         106,      -4.942953557,      -2.593337664,      -2.290108305,      0.5370711216,      -7.051077085
          0,           0,         107,      -4.924981715,      -2.613890162,      -2.309584738,       0.555236357,      -7.051097054
          0,           0,         108,      -4.904377461,      -2.637355446,      -2.318972883,      0.5760678098,      -7.050859701
          0,           0,         109,      -4.886660917,      -2.663384888,       -2.33919693,      0.5940030099,      -7.050434665
          0,           0,         110,      -4.871376782,      -2.691039272,      -2.359016332,      0.6094885995,      -7.049821215
