"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.0384202      , 0.001           
1               , -0.0161257      , 0.001           
2               , -0.0042006      , 0.001           
3               , 0.00168258      , 0.001           
4               , 0.00413657      , 0.001           
5               , 0.00473454      , 0.001           
6               , 0.00440987      , 0.001           
7               , 0.00369598      , 0.001           
8               , 0.00287982      , 0.001           
9               , 0.00210315      , 0.001           
10              , 0.0014291       , 0.001           
11              , 0.00088436      , 0.001           
12              , 0.000483548     , 0.001           
13              , 0.000239559     , 0.001           
14              , 0.00016262      , 0.001           
15              , 0.000250405     , 0.001           
16              , 0.000470909     , 0.001           
17              , 0.000741359     , 0.001           
18              , 0.00103842      , 0.001           
19              , -0.0379294      , 0.001           
20              , -0.0159438      , 0.001           
21              , -0.00415273     , 0.001           
22              , 0.0016833       , 0.001           
23              , 0.00413029      , 0.001           
24              , 0.00473566      , 0.001           
25              , 0.00441967      , 0.001           
26              , 0.00371039      , 0.001           
27              , 0.0028939       , 0.001           
28              , 0.00211276      , 0.001           
29              , 0.00143054      , 0.001           
30              , 0.00087281      , 0.001           
31              , 0.000451712     , 0.001           
32              , 0.000178425     , 0.001           
33              , 6.61266e-05     , 0.001           
34              , 0.000125222     , 0.001           
35              , 0.000348481     , 0.001           
36              , 0.000669771     , 0.001           
37              , 0.00100398      , 0.001           
